file,schema,nifty_option_rows,no_trade_rows,active_rows,true_bad_ohlc,duplicates,error
20080101.csv,legacy,122,66,56,0,0,
20080102.csv,legacy,122,57,65,0,0,
20080103.csv,legacy,128,65,63,0,0,
20080104.csv,legacy,128,54,74,0,0,
20080107.csv,legacy,134,63,71,0,0,
20080108.csv,legacy,140,73,67,0,0,
20080109.csv,legacy,140,70,70,0,0,
20080110.csv,legacy,140,64,76,0,0,
20080111.csv,legacy,140,70,70,0,0,
20080114.csv,legacy,140,73,67,0,0,
20080115.csv,legacy,140,62,78,0,0,
20080116.csv,legacy,142,51,91,0,0,
20080117.csv,legacy,144,56,88,0,0,
20080118.csv,legacy,146,57,89,0,0,
20080121.csv,legacy,154,55,99,0,0,
20080122.csv,legacy,204,116,88,0,0,
20080123.csv,legacy,240,132,108,0,0,
20080124.csv,legacy,240,135,105,0,0,
20080125.csv,legacy,240,132,108,0,0,
20080128.csv,legacy,240,128,112,0,0,
20080129.csv,legacy,240,133,107,0,0,
20080130.csv,legacy,240,118,122,0,0,
20080131.csv,legacy,240,110,130,0,0,
20080201.csv,legacy,182,102,80,0,0,
20080204.csv,legacy,188,107,81,0,0,
20080205.csv,legacy,194,122,72,0,0,
20080206.csv,legacy,196,123,73,0,0,
20080207.csv,legacy,196,111,85,0,0,
20080208.csv,legacy,196,114,82,0,0,
20080211.csv,legacy,198,111,87,0,0,
20080212.csv,legacy,212,124,88,0,0,
20080213.csv,legacy,212,125,87,0,0,
20080214.csv,legacy,212,111,101,0,0,
20080215.csv,legacy,212,114,98,0,0,
20080218.csv,legacy,212,115,97,0,0,
20080219.csv,legacy,212,114,98,0,0,
20080220.csv,legacy,212,107,105,0,0,
20080221.csv,legacy,212,115,97,0,0,
20080222.csv,legacy,212,115,97,0,0,
20080225.csv,legacy,212,107,105,0,0,
20080226.csv,legacy,212,106,106,0,0,
20080227.csv,legacy,212,99,113,0,0,
20080228.csv,legacy,212,96,116,0,0,
20080229.csv,legacy,152,81,71,0,0,
20080303.csv,legacy,368,282,86,0,0,
20080304.csv,legacy,428,332,96,0,0,
20080305.csv,legacy,454,359,95,0,0,
20080307.csv,legacy,454,351,103,0,0,
20080310.csv,legacy,488,387,101,0,0,
20080311.csv,legacy,488,381,107,0,0,
20080312.csv,legacy,488,382,106,0,0,
20080313.csv,legacy,488,385,103,0,0,
20080314.csv,legacy,544,430,114,0,0,
20080317.csv,legacy,544,428,116,0,0,
20080318.csv,legacy,578,450,128,0,0,
20080319.csv,legacy,578,447,131,0,0,
20080324.csv,legacy,578,452,126,0,0,
20080325.csv,legacy,578,424,154,0,0,
20080326.csv,legacy,578,433,145,0,0,
20080327.csv,legacy,578,427,151,0,0,
20080328.csv,legacy,516,415,101,0,0,
20080331.csv,legacy,520,420,100,0,0,
20080401.csv,legacy,524,436,88,0,0,
20080402.csv,legacy,524,428,96,0,0,
20080403.csv,legacy,524,444,80,0,0,
20080404.csv,legacy,524,423,101,0,0,
20080407.csv,legacy,528,429,99,0,0,
20080408.csv,legacy,528,427,101,0,0,
20080409.csv,legacy,528,423,105,0,0,
20080410.csv,legacy,528,435,93,0,0,
20080411.csv,legacy,528,426,102,0,0,
20080415.csv,legacy,528,416,112,0,0,
20080416.csv,legacy,528,427,101,0,0,
20080417.csv,legacy,528,423,105,0,0,
