dataset_id,stage,asset_class,instrument,frequency,source,path,format,file_count,total_bytes,row_count,start_date,end_date,columns,canonical_role,quality_status,overlap_key,overlaps_with,notes
raw_dhan_banknifty_week_expiry_code_1_call_atm,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATM,json,61,89289932,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATM; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm1,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm1,json,61,89233273,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm10,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm10,json,61,87765296,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm10; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm2,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm2,json,61,88970316,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm2; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm3,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm3,json,61,88689014,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm3; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm4,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm4,json,61,88426610,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm4; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm5,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm5,json,61,88178541,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm5; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm6,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm6,json,61,87947549,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm6; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm7,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm7,json,61,87666356,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm7; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm8,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm8,json,61,87423600,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm8; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmm9,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMm9,json,61,87390758,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMm9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp1,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp1,json,61,89133389,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp1; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp10,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp10,json,61,87153603,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp10; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp2,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp2,json,61,88888972,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp2; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp3,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp3,json,61,88644722,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp3; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp4,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp4,json,61,88394938,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp4; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp5,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp5,json,61,88133820,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp5; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp6,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp6,json,61,87910510,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp6; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp7,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp7,json,61,87706625,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp7; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp8,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp8,json,61,87527767,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp8; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_call_atmp9,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/call/ATMp9,json,61,87343866,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/call/ATMp9; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atm,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATM,json,61,89261472,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATM; contains OHLCV/OI/IV/spot when API returned data.
raw_dhan_banknifty_week_expiry_code_1_put_atmm1,raw,index_options,BANKNIFTY,1min,dhan_rollingoption,data/raw/options/dhan/banknifty/week/expiry_code_1/put/ATMm1,json,61,89072247,,2021-05-01,2026-04-30,,options_cross_check_source,raw_vendor_response_missing_bid_ask,index_options|BANKNIFTY|1min|option_ohlcv,,week/expiry_code_1/put/ATMm1; contains OHLCV/OI/IV/spot when API returned data.
