three_color,n,gap_up_rate,gap_down_rate,avg_gap_pct,median_gap_pct,next_up_rate,next_down_rate,avg_next_intraday_pct,median_next_intraday_pct,close_above_prior_rate,avg_next_total_pct,touch_3pm_close_rate,avg_close_vs_3pm_close_pct,close_above_3pm_close_rate,section,gap_dir,gap_bucket,late_2bar_dir,late_2bar_color_combo
bearish,1347,67.4833,32.5167,0.1197,0.164,48.1811,51.8189,-0.0575,-0.0362,53.6748,0.0619,60.7275,0.0736,54.7884,by_3pm_color,,,,
bullish,1420,67.0423,32.6761,0.1055,0.1465,45.5634,54.4366,-0.0787,-0.0768,53.0986,0.0262,67.1127,0.0179,51.4789,by_3pm_color,,,,
doji,2,50.0,50.0,0.5429,0.5429,0.0,100.0,-1.1575,-1.1575,0.0,-0.6257,100.0,-0.5677,0.0,by_3pm_color,,,,
bearish,438,0.0,100.0,-0.4729,-0.2563,46.8037,53.1963,-0.0712,-0.0581,27.1689,-0.5443,57.5342,-0.5296,30.137,by_3pm_color_gap,gap_down,,,
bearish,909,100.0,0.0,0.4052,0.3053,48.8449,51.1551,-0.0509,-0.0256,66.4466,0.354,62.2662,0.3643,66.6667,by_3pm_color_gap,gap_up,,,
bullish,4,0.0,0.0,0.0,0.0,50.0,50.0,-0.2629,-0.2957,50.0,-0.2629,75.0,-0.2625,50.0,by_3pm_color_gap,flat,,,
bullish,464,0.0,100.0,-0.395,-0.2056,50.0,50.0,-0.0129,0.0035,33.8362,-0.4088,67.2414,-0.4127,32.1121,by_3pm_color_gap,gap_down,,,
bullish,952,100.0,0.0,0.3498,0.268,43.3824,56.6176,-0.11,-0.0965,62.5,0.2394,67.0168,0.229,60.9244,by_3pm_color_gap,gap_up,,,
doji,1,0.0,100.0,-0.1588,-0.1588,0.0,100.0,-0.4766,-0.4766,0.0,-0.6347,100.0,-0.6669,0.0,by_3pm_color_gap,gap_down,,,
doji,1,100.0,0.0,1.2446,1.2446,0.0,100.0,-1.8385,-1.8385,0.0,-0.6168,100.0,-0.4686,0.0,by_3pm_color_gap,gap_up,,,
,4,0.0,0.0,0.0,0.0,50.0,50.0,-0.2629,-0.2957,50.0,-0.2629,75.0,-0.2625,50.0,by_gap_bucket,,flat,,
,214,0.0,100.0,-1.2373,-0.9018,54.6729,45.3271,0.0824,0.0722,14.0187,-1.1577,30.3738,-1.1446,14.0187,by_gap_bucket,,gap_down_big_le_-0.50,,
,443,0.0,100.0,-0.2601,-0.2431,44.921,55.079,-0.0916,-0.0647,30.474,-0.3515,65.0113,-0.3497,31.8284,by_gap_bucket,,gap_down_mid_-0.50_to_-0.10,,
,246,0.0,100.0,-0.0429,-0.0391,49.187,50.813,-0.0597,-0.0117,45.122,-0.1026,86.1789,-0.0986,44.7154,by_gap_bucket,,gap_down_tiny_0_to_-0.10,,
,421,100.0,0.0,0.8789,0.7011,52.2565,47.7435,-0.0715,0.0529,81.2352,0.8064,38.2423,0.8131,80.0475,by_gap_bucket,,gap_up_big_ge_0.50,,
,1148,100.0,0.0,0.2765,0.2704,43.4669,56.5331,-0.0956,-0.0965,62.1951,0.1806,69.9477,0.175,61.4111,by_gap_bucket,,gap_up_mid_0.10_to_0.50,,
,293,100.0,0.0,0.0517,0.0534,47.099,52.901,-0.0441,-0.0775,48.8055,0.0076,82.2526,0.0184,49.1468,by_gap_bucket,,gap_up_tiny_0_to_0.10,,
,1349,67.0126,32.9874,0.1146,0.1611,45.96,54.04,-0.0927,-0.0591,51.8162,0.0217,64.2698,-0.0103,50.556,by_3pm_to_315_direction,,,bearish_30min,
,1417,67.4665,32.2512,0.1111,0.1461,47.6359,52.3641,-0.0468,-0.0437,54.8342,0.0636,63.8673,0.097,55.4693,by_3pm_to_315_direction,,,bullish_30min,
,3,66.6667,33.3333,-0.0003,0.0597,33.3333,66.6667,-0.0577,-0.3805,33.3333,-0.0575,33.3333,-0.0351,33.3333,by_3pm_to_315_direction,,,flat_30min,
,638,68.9655,31.0345,0.1229,0.1696,46.7085,53.2915,-0.0795,-0.0548,52.6646,0.0439,62.6959,-0.0365,50.1567,by_3pm_315_combo,,,,bearish_bearish
,705,66.0993,33.9007,0.1156,0.1601,49.2199,50.7801,-0.039,-0.0125,54.3262,0.0755,59.1489,0.1708,58.7234,by_3pm_315_combo,,,,bearish_bullish
,4,75.0,25.0,0.3317,0.3313,100.0,0.0,0.1914,0.1829,100.0,0.5237,25.0,0.5239,100.0,by_3pm_315_combo,,,,bearish_doji
,782,68.2864,31.4578,0.1212,0.1525,42.1995,57.8005,-0.1207,-0.1125,50.7673,-0.0003,69.6931,-0.0788,45.1407,by_3pm_315_combo,,,,bullish_bearish
,635,65.5118,34.1732,0.0865,0.1337,49.7638,50.2362,-0.0253,-0.0025,56.063,0.0608,63.7795,0.1388,59.3701,by_3pm_315_combo,,,,bullish_bullish
,3,66.6667,33.3333,0.0278,0.0225,33.3333,66.6667,-0.4143,-0.3385,33.3333,-0.3884,100.0,-0.3889,33.3333,by_3pm_315_combo,,,,bullish_doji
,1,0.0,100.0,-0.1588,-0.1588,0.0,100.0,-0.4766,-0.4766,0.0,-0.6347,100.0,-0.6669,0.0,by_3pm_315_combo,,,,doji_bearish
,1,100.0,0.0,1.2446,1.2446,0.0,100.0,-1.8385,-1.8385,0.0,-0.6168,100.0,-0.4686,0.0,by_3pm_315_combo,,,,doji_bullish
