edge,n,gap_up_rate,next_up_rate,avg_gap_pct,avg_oc_pct,median_oc_pct,avg_total_pct,touch_rate,close_above_level_rate,gap_dir,three_close_touched_next_day,period,late_2bar_color_combo
baseline_all_days,2276,69.3322,46.8805,0.1256,-0.0769,-0.0551,0.0483,63.9719,53.3831,,,,
all_gap_up_days,1578,100.0,46.5779,0.384,-0.0871,-0.0706,0.2966,65.2091,63.5615,,,,
bullish_then_bearish_all_gaps,645,71.6279,42.0155,0.134,-0.1313,-0.1132,0.002,69.6124,45.4264,,,,
main_candidate,462,100.0,40.0433,0.3447,-0.1552,-0.1376,0.189,73.3766,53.8961,,,,
touch_by_gap,270,0.0,21.4815,-0.7453,-0.5088,-0.3938,-1.2501,0.0,1.4815,gap_down,False,,
touch_by_gap,426,0.0,64.3192,-0.2789,0.2377,0.2246,-0.0446,100.0,48.8263,gap_down,True,,
touch_by_gap,549,100.0,77.4135,0.5402,0.3637,0.3341,0.906,0.0,95.9927,gap_up,False,,
touch_by_gap,1029,100.0,30.1263,0.3007,-0.3276,-0.2972,-0.0286,100.0,46.2585,gap_up,True,,
main_candidate_touch_split,123,100.0,74.7967,0.5209,0.2421,0.3053,0.7645,0.0,90.2439,,False,,
main_candidate_touch_split,339,100.0,27.4336,0.2808,-0.2993,-0.2878,-0.0198,100.0,40.708,,True,,
main_candidate_period_validation,221,100.0,37.1041,0.2891,-0.1981,-0.1669,0.0902,75.5656,49.3213,,,2015-2018,
main_candidate_period_validation,183,100.0,43.1694,0.4311,-0.0983,-0.116,0.3325,69.9454,60.6557,,,2019-2022,
main_candidate_period_validation,58,100.0,41.3793,0.2842,-0.1711,-0.0925,0.1127,75.8621,50.0,,,2023+,
late_combo_gap_context,161,0.0,45.3416,-0.4675,-0.1238,-0.0591,-0.5894,46.5839,25.4658,gap_down,,,bearish_bearish
late_combo_gap_context,361,100.0,48.4765,0.3946,-0.0537,-0.0362,0.3411,68.4211,62.3269,gap_up,,,bearish_bearish
late_combo_gap_context,180,0.0,43.8889,-0.5345,-0.0758,-0.1062,-0.6124,63.8889,30.5556,gap_down,,,bearish_bullish
late_combo_gap_context,393,100.0,50.6361,0.4532,-0.0499,0.0182,0.4025,57.5064,71.7557,gap_up,,,bearish_bullish
late_combo_gap_context,1,0.0,100.0,-0.0181,0.2358,0.2358,0.2177,100.0,100.0,gap_down,,,bearish_doji
late_combo_gap_context,2,100.0,100.0,0.4998,0.2323,0.2323,0.7331,0.0,100.0,gap_up,,,bearish_doji
late_combo_gap_context,2,0.0,0.0,0.0,-0.7351,-0.7351,-0.7351,50.0,0.0,flat,,,bullish_bearish
late_combo_gap_context,181,0.0,47.5138,-0.4023,-0.0636,-0.043,-0.4672,60.221,24.3094,gap_down,,,bullish_bearish
late_combo_gap_context,462,100.0,40.0433,0.3447,-0.1552,-0.1376,0.189,73.3766,53.8961,gap_up,,,bullish_bearish
late_combo_gap_context,172,0.0,53.4884,-0.4389,0.0474,0.0633,-0.392,72.6744,40.6977,gap_down,,,bullish_bullish
late_combo_gap_context,357,100.0,48.7395,0.3463,-0.0658,-0.019,0.2801,59.944,68.6275,gap_up,,,bullish_bullish
late_combo_gap_context,1,0.0,100.0,-0.2337,0.6013,0.6013,0.3661,100.0,100.0,gap_down,,,bullish_doji
late_combo_gap_context,2,100.0,0.0,0.1586,-0.9221,-0.9221,-0.7657,100.0,0.0,gap_up,,,bullish_doji
late_combo_gap_context,1,100.0,0.0,1.2446,-1.8385,-1.8385,-0.6168,100.0,0.0,gap_up,,,doji_bullish
