strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
ShortStrangle,2021-01-07,2021-01-01,2021-01-01 09:20:00,2021-01-01,2021-01-01 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14100CE@81.15,SELL:NIFTY_DHAN_13900PE@79.55",2295.0,113.61,2181.39,1
ShortStrangle,2021-01-07,2021-01-04,2021-01-04 09:20:00,2021-01-04,2021-01-04 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14200CE@47.2,SELL:NIFTY_DHAN_14000PE@48.7",596.25,106.35,489.9,1
ShortStrangle,2021-01-07,2021-01-05,2021-01-05 09:20:00,2021-01-05,2021-01-05 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14150CE@56.65,SELL:NIFTY_DHAN_13950PE@42.05",-1908.75,108.27,-2017.02,1
ShortStrangle,2021-01-07,2021-01-06,2021-01-06 09:20:00,2021-01-06,2021-01-06 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14300CE@31.65,SELL:NIFTY_DHAN_14100PE@30.25",1188.75,101.61,1087.14,1
ShortStrangle,2021-01-07,2021-01-07,2021-01-07 09:20:00,2021-01-07,2021-01-07 12:45:00,entry,target,0,Thursday,12,75,"SELL:NIFTY_DHAN_14350CE@3.35,SELL:NIFTY_DHAN_14150PE@12.85",626.25,96.08,530.17,1
ShortStrangle,2021-01-14,2021-01-08,2021-01-08 09:20:00,2021-01-08,2021-01-08 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14350CE@56.8,SELL:NIFTY_DHAN_14150PE@79.5",-1620.0,112.91,-1732.91,1
ShortStrangle,2021-01-14,2021-01-11,2021-01-11 09:20:00,2021-01-11,2021-01-11 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14500CE@57.7,SELL:NIFTY_DHAN_14350PE@82.35",333.75,112.18,221.57,1
ShortStrangle,2021-01-14,2021-01-12,2021-01-12 09:20:00,2021-01-12,2021-01-12 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14550CE@44.5,SELL:NIFTY_DHAN_14350PE@61.1",-465.0,108.25,-573.25,1
ShortStrangle,2021-01-14,2021-01-13,2021-01-13 09:20:00,2021-01-13,2021-01-13 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14750CE@15.25,SELL:NIFTY_DHAN_14550PE@45.65",1413.75,101.35,1312.4,1
ShortStrangle,2021-01-14,2021-01-14,2021-01-14 09:20:00,2021-01-14,2021-01-14 11:07:00,entry,target,0,Thursday,11,75,"SELL:NIFTY_DHAN_14650CE@7.6,SELL:NIFTY_DHAN_14450PE@11.9",742.5,96.44,646.06,1
ShortStrangle,2021-01-21,2021-01-15,2021-01-15 09:20:00,2021-01-15,2021-01-15 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14700CE@80.75,SELL:NIFTY_DHAN_14500PE@96.45",-2257.5,118.56,-2376.06,1
ShortStrangle,2021-01-21,2021-01-18,2021-01-18 09:20:00,2021-01-18,2021-01-18 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14500CE@94.1,SELL:NIFTY_DHAN_14300PE@95.35",1057.5,118.07,939.43,1
ShortStrangle,2021-01-21,2021-01-19,2021-01-19 09:20:00,2021-01-19,2021-01-19 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14500CE@64.6,SELL:NIFTY_DHAN_14300PE@60.0",-78.75,110.45,-189.2,1
ShortStrangle,2021-01-21,2021-01-20,2021-01-20 09:20:00,2021-01-20,2021-01-20 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14650CE@31.15,SELL:NIFTY_DHAN_14450PE@34.6",1571.25,101.87,1469.38,1
ShortStrangle,2021-01-21,2021-01-21,2021-01-21 09:20:00,2021-01-21,2021-01-21 11:57:00,entry,target,0,Thursday,11,75,"SELL:NIFTY_DHAN_14800CE@5.15,SELL:NIFTY_DHAN_14600PE@4.4",345.0,95.41,249.59,1
ShortStrangle,2021-01-28,2021-01-22,2021-01-22 09:20:00,2021-01-22,2021-01-22 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14650CE@103.4,SELL:NIFTY_DHAN_14450PE@90.45",-1413.75,120.17,-1533.92,1
ShortStrangle,2021-01-28,2021-01-25,2021-01-25 09:20:00,2021-01-25,2021-01-25 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14550CE@80.7,SELL:NIFTY_DHAN_14350PE@77.8",-1263.75,115.54,-1379.29,1
ShortStrangle,2021-01-28,2021-01-27,2021-01-27 09:20:00,2021-01-27,2021-01-27 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14250CE@56.8,SELL:NIFTY_DHAN_14050PE@52.5",-292.5,108.63,-401.13,1
ShortStrangle,2021-01-28,2021-01-28,2021-01-28 09:20:00,2021-01-28,2021-01-28 12:23:00,entry,target,0,Thursday,12,75,"SELL:NIFTY_DHAN_13950CE@14.55,SELL:NIFTY_DHAN_13750PE@33.65",1800.0,99.47,1700.53,1
ShortStrangle,2021-02-04,2021-01-29,2021-01-29 09:20:00,2021-01-29,2021-01-29 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14050CE@161.55,SELL:NIFTY_DHAN_13850PE@166.6",-5786.25,140.13,-5926.38,1
ShortStrangle,2021-02-04,2021-02-01,2021-02-01 09:20:00,2021-02-01,2021-02-01 14:20:00,entry,time_exit,3,Monday,14,75,"SELL:NIFTY_DHAN_13850CE@148.05,SELL:NIFTY_DHAN_13650PE@188.6",-5141.25,140.82,-5282.07,1
ShortStrangle,2021-02-04,2021-02-02,2021-02-02 09:20:00,2021-02-02,2021-02-02 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14600CE@99.9,SELL:NIFTY_DHAN_14400PE@57.6",243.75,114.48,129.27,1
ShortStrangle,2021-02-04,2021-02-03,2021-02-03 09:20:00,2021-02-03,2021-02-03 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14800CE@31.5,SELL:NIFTY_DHAN_14600PE@110.25",4545.0,109.79,4435.21,1
ShortStrangle,2021-02-04,2021-02-04,2021-02-04 09:20:00,2021-02-04,2021-02-04 11:03:00,entry,target,0,Thursday,11,75,"SELL:NIFTY_DHAN_14850CE@21.55,SELL:NIFTY_DHAN_14650PE@21.55",1605.0,98.93,1506.07,1
ShortStrangle,2021-02-11,2021-02-05,2021-02-05 09:20:00,2021-02-05,2021-02-05 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15050CE@119.95,SELL:NIFTY_DHAN_14850PE@121.8",1987.5,124.22,1863.28,1
ShortStrangle,2021-02-11,2021-02-08,2021-02-08 09:20:00,2021-02-08,2021-02-08 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15200CE@81.5,SELL:NIFTY_DHAN_15000PE@110.3",2625.0,117.4,2507.6,1
ShortStrangle,2021-02-11,2021-02-09,2021-02-09 09:20:00,2021-02-09,2021-02-09 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_15250CE@57.65,SELL:NIFTY_DHAN_15050PE@74.6",933.75,110.81,822.94,1
ShortStrangle,2021-02-11,2021-02-10,2021-02-10 09:20:00,2021-02-10,2021-02-10 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15250CE@38.8,SELL:NIFTY_DHAN_15050PE@58.25",2355.0,105.41,2249.59,1
ShortStrangle,2021-02-11,2021-02-11,2021-02-11 09:20:00,2021-02-11,2021-02-11 12:55:00,entry,target,0,Thursday,12,75,"SELL:NIFTY_DHAN_15200CE@16.4,SELL:NIFTY_DHAN_15000PE@22.7",1530.0,98.47,1431.53,1
ShortStrangle,2021-02-18,2021-02-12,2021-02-12 09:20:00,2021-02-12,2021-02-12 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15300CE@86.95,SELL:NIFTY_DHAN_15100PE@96.3",2081.25,116.64,1964.61,1
ShortStrangle,2021-02-18,2021-02-15,2021-02-15 09:20:00,2021-02-15,2021-02-15 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15400CE@44.05,SELL:NIFTY_DHAN_15200PE@73.45",371.25,109.25,262.0,1
ShortStrangle,2021-02-18,2021-02-16,2021-02-16 09:20:00,2021-02-16,2021-02-16 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_15500CE@43.65,SELL:NIFTY_DHAN_15300PE@53.8",802.5,106.41,696.09,1
ShortStrangle,2021-02-18,2021-02-17,2021-02-17 09:20:00,2021-02-17,2021-02-17 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15350CE@39.0,SELL:NIFTY_DHAN_15150PE@38.7",2096.25,103.08,1993.17,1
ShortStrangle,2021-02-18,2021-02-18,2021-02-18 09:20:00,2021-02-18,2021-02-18 14:15:00,entry,target,0,Thursday,14,75,"SELL:NIFTY_DHAN_15300CE@13.55,SELL:NIFTY_DHAN_15100PE@12.25",1027.5,97.07,930.43,1
ShortStrangle,2021-02-25,2021-02-19,2021-02-19 09:20:00,2021-02-19,2021-02-19 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15150CE@90.05,SELL:NIFTY_DHAN_14950PE@105.35",1623.75,118.48,1505.27,1
ShortStrangle,2021-02-25,2021-02-22,2021-02-22 09:20:00,2021-02-22,2021-02-22 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15100CE@55.7,SELL:NIFTY_DHAN_14900PE@107.65",-9727.5,121.42,-9848.92,1
ShortStrangle,2021-02-25,2021-02-23,2021-02-23 09:20:00,2021-02-23,2021-02-23 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14850CE@64.75,SELL:NIFTY_DHAN_14650PE@71.0",2313.75,110.4,2203.35,1
ShortStrangle,2021-02-25,2021-02-24,2021-02-24 09:20:00,2021-02-24,2021-02-24 10:08:00,entry,time_exit,1,Wednesday,10,75,"SELL:NIFTY_DHAN_14850CE@47.7,SELL:NIFTY_DHAN_14650PE@46.3",127.5,106.39,21.11,1
ShortStrangle,2021-02-25,2021-02-25,2021-02-25 09:20:00,2021-02-25,2021-02-25 11:36:00,entry,target,0,Thursday,11,75,"SELL:NIFTY_DHAN_15200CE@26.6,SELL:NIFTY_DHAN_15000PE@12.55",1515.0,98.5,1416.5,1
ShortStrangle,2021-03-04,2021-02-26,2021-02-26 09:20:00,2021-02-26,2021-02-26 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14900CE@149.15,SELL:NIFTY_DHAN_14700PE@126.15",-6825.0,134.0,-6959.0,1
ShortStrangle,2021-03-04,2021-03-01,2021-03-01 09:20:00,2021-03-01,2021-03-01 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14750CE@162.4,SELL:NIFTY_DHAN_14550PE@104.2",3172.5,126.67,3045.83,1
ShortStrangle,2021-03-04,2021-03-02,2021-03-02 09:20:00,2021-03-02,2021-03-02 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14950CE@86.7,SELL:NIFTY_DHAN_14750PE@80.7",2448.75,114.38,2334.37,1
ShortStrangle,2021-03-04,2021-03-03,2021-03-03 09:20:00,2021-03-03,2021-03-03 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15150CE@35.65,SELL:NIFTY_DHAN_14950PE@38.95",-5711.25,107.53,-5818.78,1
ShortStrangle,2021-03-04,2021-03-04,2021-03-04 09:20:00,2021-03-04,2021-03-04 13:56:00,entry,target,0,Thursday,13,75,"SELL:NIFTY_DHAN_15150CE@24.9,SELL:NIFTY_DHAN_14950PE@33.2",2272.5,100.46,2172.04,1
ShortStrangle,2021-03-10,2021-03-05,2021-03-05 09:20:00,2021-03-05,2021-03-05 15:20:00,entry,time_exit,5,Friday,15,75,"SELL:NIFTY_DHAN_15050CE@165.45,SELL:NIFTY_DHAN_14850PE@175.3",5265.0,134.89,5130.11,1
ShortStrangle,2021-03-10,2021-03-08,2021-03-08 09:20:00,2021-03-08,2021-03-08 15:20:00,entry,time_exit,2,Monday,15,75,"SELL:NIFTY_DHAN_15150CE@95.75,SELL:NIFTY_DHAN_14950PE@121.65",3348.75,120.25,3228.5,1
ShortStrangle,2021-03-10,2021-03-09,2021-03-09 09:20:00,2021-03-09,2021-03-09 15:20:00,entry,time_exit,1,Tuesday,15,75,"SELL:NIFTY_DHAN_15200CE@58.8,SELL:NIFTY_DHAN_15000PE@60.8",3648.75,107.5,3541.25,1
ShortStrangle,2021-03-10,2021-03-10,2021-03-10 09:20:00,2021-03-10,2021-03-10 13:16:00,entry,target,0,Wednesday,13,75,"SELL:NIFTY_DHAN_15300CE@11.75,SELL:NIFTY_DHAN_15100PE@13.8",986.25,97.07,889.18,1
ShortStrangle,2021-03-18,2021-03-12,2021-03-12 09:20:00,2021-03-12,2021-03-12 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15450CE@90.3,SELL:NIFTY_DHAN_15250PE@116.0",-8602.5,126.23,-8728.73,1
ShortStrangle,2021-03-18,2021-03-15,2021-03-15 09:20:00,2021-03-15,2021-03-15 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15100CE@93.0,SELL:NIFTY_DHAN_14900PE@128.6",3326.25,120.79,3205.46,1
ShortStrangle,2021-03-18,2021-03-16,2021-03-16 09:20:00,2021-03-16,2021-03-16 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_15100CE@69.55,SELL:NIFTY_DHAN_14900PE@82.05",1353.75,113.02,1240.73,1
ShortStrangle,2021-03-18,2021-03-17,2021-03-17 09:20:00,2021-03-17,2021-03-17 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15000CE@52.7,SELL:NIFTY_DHAN_14800PE@58.7",-708.75,109.14,-817.89,1
ShortStrangle,2021-03-18,2021-03-18,2021-03-18 09:20:00,2021-03-18,2021-03-18 12:01:00,entry,target,0,Thursday,12,75,"SELL:NIFTY_DHAN_14900CE@36.7,SELL:NIFTY_DHAN_14750PE@17.8",2085.0,100.1,1984.9,1
ShortStrangle,2021-03-25,2021-03-19,2021-03-19 09:20:00,2021-03-19,2021-03-19 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14600CE@133.1,SELL:NIFTY_DHAN_14400PE@180.15",543.75,134.29,409.46,1
ShortStrangle,2021-03-25,2021-03-22,2021-03-22 09:20:00,2021-03-22,2021-03-22 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14750CE@134.9,SELL:NIFTY_DHAN_14550PE@101.0",3142.5,122.75,3019.75,1
ShortStrangle,2021-03-25,2021-03-23,2021-03-23 09:20:00,2021-03-23,2021-03-23 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14900CE@78.4,SELL:NIFTY_DHAN_14700PE@82.35",3528.75,112.86,3415.89,1
ShortStrangle,2021-03-25,2021-03-24,2021-03-24 09:20:00,2021-03-24,2021-03-24 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14850CE@49.45,SELL:NIFTY_DHAN_14650PE@59.0",-2381.25,109.81,-2491.06,1
ShortStrangle,2021-03-25,2021-03-25,2021-03-25 09:20:00,2021-03-25,2021-03-25 14:42:00,entry,target,0,Thursday,14,75,"SELL:NIFTY_DHAN_14600CE@15.8,SELL:NIFTY_DHAN_14400PE@36.1",1983.75,99.83,1883.92,1
ShortStrangle,2021-04-01,2021-03-26,2021-03-26 09:20:00,2021-03-26,2021-03-26 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14600CE@117.1,SELL:NIFTY_DHAN_14400PE@151.45",5703.75,125.34,5578.41,1
ShortStrangle,2021-04-01,2021-03-30,2021-03-30 09:20:00,2021-03-30,2021-03-30 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14750CE@66.5,SELL:NIFTY_DHAN_14550PE@78.35",-3528.75,115.19,-3643.94,1
ShortStrangle,2021-04-01,2021-03-31,2021-03-31 09:20:00,2021-03-31,2021-03-31 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14850CE@54.95,SELL:NIFTY_DHAN_14650PE@60.25",2823.75,107.45,2716.3,1
ShortStrangle,2021-04-01,2021-04-01,2021-04-01 09:20:00,2021-04-01,2021-04-01 13:15:00,entry,target,0,Thursday,13,75,"SELL:NIFTY_DHAN_14900CE@15.85,SELL:NIFTY_DHAN_14700PE@19.8",1376.25,98.13,1278.12,1
ShortStrangle,2021-04-08,2021-04-05,2021-04-05 09:20:00,2021-04-05,2021-04-05 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14900CE@77.9,SELL:NIFTY_DHAN_14700PE@123.3",1241.25,119.47,1121.78,1
ShortStrangle,2021-04-08,2021-04-06,2021-04-06 09:20:00,2021-04-06,2021-04-06 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14750CE@58.35,SELL:NIFTY_DHAN_14550PE@118.1",4207.5,114.46,4093.04,1
ShortStrangle,2021-04-08,2021-04-07,2021-04-07 09:20:00,2021-04-07,2021-04-07 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14800CE@64.45,SELL:NIFTY_DHAN_14600PE@57.55",2257.5,108.66,2148.84,1
ShortStrangle,2021-04-08,2021-04-08,2021-04-08 09:20:00,2021-04-08,2021-04-08 12:31:00,entry,target,0,Thursday,12,75,"SELL:NIFTY_DHAN_15000CE@17.25,SELL:NIFTY_DHAN_14800PE@11.75",1098.75,97.44,1001.31,1
ShortStrangle,2021-04-15,2021-04-09,2021-04-09 09:20:00,2021-04-09,2021-04-09 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14950CE@98.7,SELL:NIFTY_DHAN_14750PE@128.7",4140.0,121.03,4018.97,1
ShortStrangle,2021-04-15,2021-04-12,2021-04-12 09:20:00,2021-04-12,2021-04-12 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14700CE@57.35,SELL:NIFTY_DHAN_14500PE@136.85",-4653.75,122.23,-4775.98,1
ShortStrangle,2021-04-15,2021-04-13,2021-04-13 09:20:00,2021-04-13,2021-04-13 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14500CE@38.2,SELL:NIFTY_DHAN_14300PE@123.1",4511.25,112.32,4398.93,1
ShortStrangle,2021-04-15,2021-04-15,2021-04-15 09:20:00,2021-04-15,2021-04-15 13:43:00,entry,target,0,Thursday,13,75,"SELL:NIFTY_DHAN_14600CE@35.85,SELL:NIFTY_DHAN_14450PE@23.3",2291.25,100.57,2190.68,1
ShortStrangle,2021-04-22,2021-04-16,2021-04-16 09:20:00,2021-04-16,2021-04-16 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14750CE@82.4,SELL:NIFTY_DHAN_14550PE@129.65",1571.25,120.66,1450.59,1
