strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMV2CallLevelStop,2021-01-07,2021-01-05,2021-01-05 15:16:00,2021-01-06,2021-01-06 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14050CE@176.95,386.25,70.34,315.91,1
ThreePMV2CallLevelStop,2021-01-14,2021-01-08,2021-01-08 15:16:00,2021-01-11,2021-01-11 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14250CE@166.4,6210.0,75.34,6134.66,1
ThreePMV2CallLevelStop,2021-01-14,2021-01-11,2021-01-11 15:16:00,2021-01-12,2021-01-12 09:16:00,entry,spot_level_stop,3,Monday,9,75,BUY:NIFTY_DHAN_14450CE@102.45,-637.5,59.66,-697.16,1
ThreePMV2CallLevelStop,2021-01-14,2021-01-12,2021-01-12 15:16:00,2021-01-13,2021-01-13 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14450CE@157.45,-26.25,67.4,-93.65,1
ThreePMV2CallLevelStop,2021-02-04,2021-02-02,2021-02-02 15:16:00,2021-02-03,2021-02-03 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14500CE@196.05,3603.75,76.31,3527.44,1
ThreePMV2CallLevelStop,2021-02-18,2021-02-15,2021-02-15 15:16:00,2021-02-16,2021-02-16 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_15300CE@109.55,1128.75,62.5,1066.25,1
ThreePMV2CallLevelStop,2021-02-25,2021-02-23,2021-02-23 15:16:00,2021-02-24,2021-02-24 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14750CE@75.85,285.0,57.25,227.75,1
ThreePMV2CallLevelStop,2021-03-10,2021-03-09,2021-03-09 15:16:00,2021-03-10,2021-03-10 09:15:00,entry,next_day_open,1,Tuesday,9,75,BUY:NIFTY_DHAN_15100CE@83.3,1226.25,59.24,1167.01,1
ThreePMV2CallLevelStop,2021-03-25,2021-03-19,2021-03-19 15:16:00,2021-03-22,2021-03-22 09:16:00,entry,spot_level_stop,6,Friday,9,75,BUY:NIFTY_DHAN_14500CE@315.5,-2433.75,85.06,-2518.81,1
ThreePMV2CallLevelStop,2021-03-25,2021-03-23,2021-03-23 15:16:00,2021-03-24,2021-03-24 09:16:00,entry,spot_level_stop,2,Tuesday,9,75,BUY:NIFTY_DHAN_14800CE@122.1,-3945.0,58.58,-4003.58,1
ThreePMV2CallLevelStop,2021-04-15,2021-04-13,2021-04-13 15:16:00,2021-04-15,2021-04-15 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14400CE@150.5,1942.5,68.65,1873.85,1
ThreePMV2CallLevelStop,2021-04-22,2021-04-19,2021-04-19 15:16:00,2021-04-20,2021-04-20 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_14300CE@157.5,2748.75,70.43,2678.32,1
ThreePMV2CallLevelStop,2021-04-29,2021-04-28,2021-04-28 15:16:00,2021-04-29,2021-04-29 09:16:00,entry,target,1,Wednesday,9,75,BUY:NIFTY_DHAN_14700CE@177.25,8962.5,79.75,8882.75,1
ThreePMV2CallLevelStop,2021-05-06,2021-05-05,2021-05-05 15:16:00,2021-05-06,2021-05-06 09:15:00,entry,next_day_open,1,Wednesday,9,75,BUY:NIFTY_DHAN_14550CE@117.75,731.25,63.12,668.13,1
