strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMV2Put,2021-01-07,2021-01-05,2021-01-05 15:16:00,2021-01-06,2021-01-06 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14050PE@35.9,-641.25,51.11,-692.36,1
ThreePMV2Put,2021-01-14,2021-01-08,2021-01-08 15:16:00,2021-01-11,2021-01-11 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14250PE@78.4,-1845.0,55.25,-1900.25,1
ThreePMV2Put,2021-01-14,2021-01-11,2021-01-11 15:16:00,2021-01-12,2021-01-12 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_14450PE@94.65,420.0,59.81,360.19,1
ThreePMV2Put,2021-01-14,2021-01-12,2021-01-12 15:16:00,2021-01-13,2021-01-13 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14450PE@40.0,-761.25,51.5,-812.75,1
ThreePMV2Put,2021-02-04,2021-02-02,2021-02-02 15:16:00,2021-02-03,2021-02-03 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14500PE@45.2,-1522.5,51.35,-1573.85,1
ThreePMV2Put,2021-02-18,2021-02-15,2021-02-15 15:16:00,2021-02-16,2021-02-16 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_15300PE@85.65,-746.25,57.39,-803.64,1
ThreePMV2Put,2021-02-25,2021-02-23,2021-02-23 15:16:00,2021-02-24,2021-02-24 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14750PE@111.45,-2058.75,59.26,-2118.01,1
ThreePMV2Put,2021-03-10,2021-03-09,2021-03-09 15:16:00,2021-03-10,2021-03-10 09:16:00,entry,stop_loss,1,Tuesday,9,75,BUY:NIFTY_DHAN_15100PE@62.5,-3603.75,51.29,-3655.04,1
ThreePMV2Put,2021-03-25,2021-03-19,2021-03-19 15:16:00,2021-03-22,2021-03-22 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14500PE@87.7,-603.75,57.81,-661.56,1
ThreePMV2Put,2021-03-25,2021-03-23,2021-03-23 15:16:00,2021-03-24,2021-03-24 09:16:00,entry,time_exit,2,Tuesday,9,75,BUY:NIFTY_DHAN_14800PE@80.95,3517.5,61.43,3456.07,1
ThreePMV2Put,2021-04-15,2021-04-13,2021-04-13 15:16:00,2021-04-15,2021-04-15 09:16:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14400PE@43.05,-1623.75,50.96,-1674.71,1
ThreePMV2Put,2021-04-22,2021-04-19,2021-04-19 15:16:00,2021-04-20,2021-04-20 09:16:00,entry,stop_loss,3,Monday,9,75,BUY:NIFTY_DHAN_14300PE@108.95,-4950.0,55.79,-5005.79,1
ThreePMV2Put,2021-04-29,2021-04-28,2021-04-28 15:16:00,2021-04-29,2021-04-29 09:16:00,entry,stop_loss,1,Wednesday,9,75,BUY:NIFTY_DHAN_14700PE@25.05,-1631.25,48.64,-1679.89,1
ThreePMV2Put,2021-05-06,2021-05-05,2021-05-05 15:16:00,2021-05-06,2021-05-06 09:16:00,entry,stop_loss,1,Wednesday,9,75,BUY:NIFTY_DHAN_14550PE@43.65,-1923.75,50.7,-1974.45,1
ThreePMV2Put,2021-05-12,2021-05-10,2021-05-10 15:16:00,2021-05-11,2021-05-11 09:16:00,entry,target,2,Monday,9,75,BUY:NIFTY_DHAN_14900PE@76.1,4151.25,61.51,4089.74,1
ThreePMV2Put,2021-06-10,2021-06-07,2021-06-07 15:16:00,2021-06-08,2021-06-08 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_15700PE@60.5,-78.75,54.89,-133.64,1
ThreePMV2Put,2021-06-17,2021-06-15,2021-06-15 15:16:00,2021-06-16,2021-06-16 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_15850PE@58.05,855.0,55.58,799.42,1
ThreePMV2Put,2021-07-15,2021-07-12,2021-07-12 15:16:00,2021-07-13,2021-07-13 09:16:00,entry,stop_loss,3,Monday,9,50,BUY:NIFTY_DHAN_15750PE@97.6,-2480.0,52.85,-2532.85,1
ThreePMV2Put,2021-07-15,2021-07-13,2021-07-13 15:16:00,2021-07-14,2021-07-14 09:15:00,entry,next_day_open,2,Tuesday,9,50,BUY:NIFTY_DHAN_15750PE@29.15,285.0,50.01,234.99,1
ThreePMV2Put,2021-07-15,2021-07-14,2021-07-14 15:16:00,2021-07-15,2021-07-15 09:15:00,entry,next_day_open,1,Wednesday,9,50,BUY:NIFTY_DHAN_15800PE@20.5,-287.5,48.64,-336.14,1
ThreePMV2Put,2021-07-22,2021-07-16,2021-07-16 15:16:00,2021-07-19,2021-07-19 09:16:00,entry,target,6,Friday,9,50,BUY:NIFTY_DHAN_15950PE@87.05,3530.0,58.5,3471.5,1
ThreePMV2Put,2021-07-29,2021-07-28,2021-07-28 15:16:00,2021-07-29,2021-07-29 09:16:00,entry,stop_loss,1,Wednesday,9,50,BUY:NIFTY_DHAN_15700PE@42.9,-1405.0,49.34,-1454.34,1
