strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStraddle,2021-01-07,2021-01-01 09:20:00,2021-01-01 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14000CE@130.7,SELL:NIFTY_DHAN_14000PE@116.75",1615.0,0.0,1615.0
ShortStraddle,2021-01-07,2021-01-04 09:20:00,2021-01-04 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14100CE@92.8,SELL:NIFTY_DHAN_14100PE@86.0",440.0,0.0,440.0
ShortStraddle,2021-01-07,2021-01-05 09:20:00,2021-01-05 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14050CE@111.5,SELL:NIFTY_DHAN_14050PE@69.6",-1550.0,0.0,-1550.0
ShortStraddle,2021-01-07,2021-01-06 09:20:00,2021-01-06 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14200CE@80.45,SELL:NIFTY_DHAN_14200PE@59.15",1117.5,0.0,1117.5
ShortStraddle,2021-01-07,2021-01-07 09:20:00,2021-01-07 15:18:00,entry,stop_loss,"SELL:NIFTY_DHAN_14250CE@27.35,SELL:NIFTY_DHAN_14250PE@49.4",-1942.5,0.0,-1942.5
ShortStraddle,2021-01-14,2021-01-08 09:20:00,2021-01-08 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14250CE@101.35,SELL:NIFTY_DHAN_14250PE@119.85",-1240.0,0.0,-1240.0
ShortStraddle,2021-01-14,2021-01-11 09:20:00,2021-01-11 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14450CE@79.8,SELL:NIFTY_DHAN_14450PE@126.05",457.5,0.0,457.5
ShortStraddle,2021-01-14,2021-01-12 09:20:00,2021-01-12 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14450CE@92.15,SELL:NIFTY_DHAN_14450PE@95.55",-452.5,0.0,-452.5
ShortStraddle,2021-01-14,2021-01-13 09:20:00,2021-01-13 14:04:00,entry,stop_loss,"SELL:NIFTY_DHAN_14650CE@45.4,SELL:NIFTY_DHAN_14650PE@90.05",-3822.5,0.0,-3822.5
ShortStraddle,2021-01-14,2021-01-14 09:20:00,2021-01-14 14:50:00,entry,target,"SELL:NIFTY_DHAN_14550CE@41.55,SELL:NIFTY_DHAN_14550PE@40.15",2050.0,0.0,2050.0
ShortStraddle,2021-01-21,2021-01-15 09:20:00,2021-01-15 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14600CE@130.15,SELL:NIFTY_DHAN_14600PE@134.6",-1520.0,0.0,-1520.0
ShortStraddle,2021-01-21,2021-01-18 09:20:00,2021-01-18 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14400CE@144.65,SELL:NIFTY_DHAN_14400PE@132.3",697.5,0.0,697.5
ShortStraddle,2021-01-21,2021-01-19 09:20:00,2021-01-19 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14400CE@110.2,SELL:NIFTY_DHAN_14400PE@99.4",-57.5,0.0,-57.5
ShortStraddle,2021-01-21,2021-01-20 09:20:00,2021-01-20 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14550CE@76.6,SELL:NIFTY_DHAN_14550PE@67.85",1052.5,0.0,1052.5
ShortStraddle,2021-01-21,2021-01-21 09:20:00,2021-01-21 14:29:00,entry,target,"SELL:NIFTY_DHAN_14700CE@39.15,SELL:NIFTY_DHAN_14700PE@25.45",1657.5,0.0,1657.5
ShortStraddle,2021-01-28,2021-01-22 09:20:00,2021-01-22 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14550CE@156.55,SELL:NIFTY_DHAN_14550PE@124.55",-922.5,0.0,-922.5
ShortStraddle,2021-01-28,2021-01-25 09:20:00,2021-01-25 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14450CE@127.55,SELL:NIFTY_DHAN_14450PE@114.6",-1005.0,0.0,-1005.0
