strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ThreePMV2CallLevelStop,2021-01-07,2021-01-05 15:16:00,2021-01-06 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14050CE@176.95,257.5,71.74,185.76
ThreePMV2CallLevelStop,2021-01-14,2021-01-08 15:16:00,2021-01-11 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14250CE@166.4,4140.0,78.43,4061.57
ThreePMV2CallLevelStop,2021-01-14,2021-01-11 15:16:00,2021-01-12 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14450CE@102.45,-425.0,60.2,-485.2
ThreePMV2CallLevelStop,2021-01-14,2021-01-12 15:16:00,2021-01-13 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14450CE@157.45,-17.5,68.52,-86.02
ThreePMV2CallLevelStop,2021-01-14,2021-01-14 15:16:00,2021-01-15 09:16:00,entry,target,BUY:NIFTY_DHAN_14550CE@41.75,5707.5,64.8,5642.7
ThreePMV2CallLevelStop,2021-02-04,2021-02-02 15:16:00,2021-02-03 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14500CE@196.05,2402.5,78.81,2323.69
ThreePMV2CallLevelStop,2021-02-11,2021-02-11 15:16:00,2021-02-12 09:16:00,entry,target,BUY:NIFTY_DHAN_15100CE@68.6,6317.5,69.71,6247.79
ThreePMV2CallLevelStop,2021-02-18,2021-02-15 15:16:00,2021-02-16 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_15300CE@109.55,752.5,63.63,688.87
ThreePMV2CallLevelStop,2021-02-25,2021-02-23 15:16:00,2021-02-24 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14750CE@75.85,190.0,57.89,132.11
ThreePMV2CallLevelStop,2021-03-04,2021-03-04 15:16:00,2021-03-05 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_15050CE@28.15,6715.0,65.06,6649.94
ThreePMV2CallLevelStop,2021-03-11,2021-03-09 15:16:00,2021-03-10 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_15100CE@83.3,817.5,60.21,757.29
ThreePMV2CallLevelStop,2021-03-25,2021-03-19 15:16:00,2021-03-22 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14500CE@315.5,-1622.5,86.6,-1709.1
ThreePMV2CallLevelStop,2021-03-25,2021-03-23 15:16:00,2021-03-24 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14800CE@122.1,-2630.0,58.26,-2688.26
ThreePMV2CallLevelStop,2021-04-15,2021-04-13 15:16:00,2021-04-15 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14400CE@150.5,1295.0,70.31,1224.69
ThreePMV2CallLevelStop,2021-04-22,2021-04-19 15:16:00,2021-04-20 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14300CE@157.5,1832.5,72.39,1760.11
ThreePMV2CallLevelStop,2021-04-22,2021-04-20 15:16:00,2021-04-22 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14500CE@18.8,-850.0,47.97,-897.97
ThreePMV2CallLevelStop,2021-04-22,2021-04-22 15:16:00,2021-04-23 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14150CE@255.7,2327.5,86.74,2240.76
ThreePMV2CallLevelStop,2021-04-29,2021-04-28 15:16:00,2021-04-29 09:16:00,entry,target,BUY:NIFTY_DHAN_14700CE@177.25,5975.0,83.74,5891.26
ThreePMV2CallLevelStop,2021-04-29,2021-04-29 15:16:00,2021-04-29 15:18:00,entry,stop_loss,BUY:NIFTY_DHAN_15000CE@0.25,-10.0,47.22,-57.22
ThreePMV2CallLevelStop,2021-05-06,2021-05-05 15:16:00,2021-05-06 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14550CE@117.75,487.5,64.19,423.31
ThreePMV2CallLevelStop,2021-05-13,2021-05-10 15:16:00,2021-05-11 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_14900CE@113.0,-3937.5,54.29,-3991.79
ThreePMV2CallLevelStop,2021-05-20,2021-05-17 15:16:00,2021-05-18 09:16:00,entry,target,BUY:NIFTY_DHAN_14750CE@216.35,6190.0,89.49,6100.51
ThreePMV2CallLevelStop,2021-06-03,2021-06-03 15:16:00,2021-06-04 09:16:00,entry,target,BUY:NIFTY_DHAN_15650CE@36.75,4840.0,62.3,4777.7
ThreePMV2CallLevelStop,2021-06-10,2021-06-07 15:16:00,2021-06-08 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_15700CE@116.8,-947.5,61.06,-1008.56
ThreePMV2CallLevelStop,2021-06-17,2021-06-15 15:16:00,2021-06-16 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_15850CE@73.85,-1002.5,55.12,-1057.62
ThreePMV2CallLevelStop,2021-07-15,2021-07-12 15:16:00,2021-07-13 09:16:00,entry,target,BUY:NIFTY_DHAN_15750CE@48.0,1177.5,56.17,1121.33
ThreePMV2CallLevelStop,2021-07-15,2021-07-13 15:16:00,2021-07-14 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_15750CE@98.1,-907.5,58.61,-966.11
ThreePMV2CallLevelStop,2021-07-15,2021-07-14 15:16:00,2021-07-15 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_15800CE@72.5,860.0,58.83,801.17
ThreePMV2CallLevelStop,2021-07-22,2021-07-16 15:16:00,2021-07-19 09:16:00,entry,spot_level_stop,BUY:NIFTY_DHAN_15950CE@63.55,-2347.5,50.91,-2398.41
ThreePMV2CallLevelStop,2021-07-22,2021-07-20 15:16:00,2021-07-22 09:16:00,entry,target,BUY:NIFTY_DHAN_15700CE@27.5,890.0,52.79,837.21
ThreePMV2CallLevelStop,2021-07-29,2021-07-28 15:16:00,2021-07-29 09:16:00,entry,target,BUY:NIFTY_DHAN_15700CE@47.2,1115.0,55.94,1059.06
ThreePMV2CallLevelStop,2021-07-29,2021-07-29 15:16:00,2021-07-29 15:18:00,entry,stop_loss,BUY:NIFTY_DHAN_15800CE@0.3,-12.5,47.22,-59.72
