strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
IronCondor,2024-01-04,2024-01-04 09:20:00,2024-01-04 10:51:00,entry,target,"SELL:NIFTY04JAN24CE21700@7.55,BUY:NIFTY04JAN24CE21800@1.7,SELL:NIFTY04JAN24PE21500@10.75,BUY:NIFTY04JAN24PE21400@3.05",330.0,191.35,138.65
IronCondor,2024-01-11,2024-01-11 09:20:00,2024-01-11 11:43:00,entry,target,"SELL:NIFTY11JAN24CE21800@9.4,BUY:NIFTY11JAN24CE21900@1.75,SELL:NIFTY11JAN24PE21600@10.3,BUY:NIFTY11JAN24PE21500@3.9",332.5,191.68,140.82
IronCondor,2024-01-18,2024-01-18 09:20:00,2024-01-18 09:53:00,entry,stop_loss,"SELL:NIFTY18JAN24CE21550@18.4,BUY:NIFTY18JAN24CE21650@6.45,SELL:NIFTY18JAN24PE21350@25.55,BUY:NIFTY18JAN24PE21250@11.2",-895.0,200.72,-1095.72
IronCondor,2024-01-25,2024-01-25 09:20:00,2024-01-25 11:00:00,entry,stop_loss,"SELL:NIFTY25JAN24CE21500@32.95,BUY:NIFTY25JAN24CE21600@13.25,SELL:NIFTY25JAN24PE21300@27.65,BUY:NIFTY25JAN24PE21200@13.5",-905.0,203.97,-1108.97
IronCondor,2024-02-01,2024-02-01 09:20:00,2024-02-01 12:00:00,entry,target,"SELL:NIFTY01FEB24CE21850@69.6,BUY:NIFTY01FEB24CE21950@44.5,SELL:NIFTY01FEB24PE21650@88.9,BUY:NIFTY01FEB24PE21550@56.9",1472.5,216.3,1256.2
IronCondor,2024-02-08,2024-02-08 09:20:00,2024-02-08 10:44:00,entry,stop_loss,"SELL:NIFTY08FEB24CE22100@26.95,BUY:NIFTY08FEB24CE22200@8.8,SELL:NIFTY08FEB24PE21900@21.2,BUY:NIFTY08FEB24PE21800@9.4",-892.5,199.1,-1091.6
IronCondor,2024-02-15,2024-02-15 09:20:00,2024-02-15 11:39:00,entry,target,"SELL:NIFTY15FEB24CE22000@23.9,BUY:NIFTY15FEB24CE22100@7.7,SELL:NIFTY15FEB24PE21800@29.0,BUY:NIFTY15FEB24PE21700@13.25",792.5,196.57,595.93
IronCondor,2024-02-22,2024-02-22 09:20:00,2024-02-22 10:01:00,entry,stop_loss,"SELL:NIFTY22FEB24CE22150@23.7,BUY:NIFTY22FEB24CE22250@8.85,SELL:NIFTY22FEB24PE21950@31.35,BUY:NIFTY22FEB24PE21850@11.65",-1035.0,203.5,-1238.5
IronCondor,2024-02-29,2024-02-29 09:20:00,2024-02-29 13:40:00,entry,target,"SELL:NIFTY29FEB24CE22000@43.25,BUY:NIFTY29FEB24CE22100@20.5,SELL:NIFTY29FEB24PE21800@35.15,BUY:NIFTY29FEB24PE21700@15.6",1112.5,199.63,912.87
IronCondor,2024-03-07,2024-03-07 09:20:00,2024-03-07 10:18:00,entry,target,"SELL:NIFTY07MAR24CE22600@16.9,BUY:NIFTY07MAR24CE22700@5.0,SELL:NIFTY07MAR24PE22400@25.75,BUY:NIFTY07MAR24PE22300@11.2",655.0,195.16,459.84
IronCondor,2024-03-14,2024-03-14 09:20:00,2024-03-14 11:33:00,entry,stop_loss,"SELL:NIFTY14MAR24CE22050@34.4,BUY:NIFTY14MAR24CE22150@15.55,SELL:NIFTY14MAR24PE21850@38.0,BUY:NIFTY14MAR24PE21750@16.4",-1272.5,203.98,-1476.48
IronCondor,2024-03-21,2024-03-21 09:20:00,2024-03-21 11:35:00,entry,target,"SELL:NIFTY21MAR24CE22100@18.95,BUY:NIFTY21MAR24CE22200@6.05,SELL:NIFTY21MAR24PE21900@18.45,BUY:NIFTY21MAR24PE21800@7.25",592.5,194.12,398.38
IronCondor,2024-03-28,2024-03-28 09:20:00,2024-03-28 09:45:00,entry,stop_loss,"SELL:NIFTY28MAR24CE22300@16.75,BUY:NIFTY28MAR24CE22400@3.7,SELL:NIFTY28MAR24PE22100@15.3,BUY:NIFTY28MAR24PE22000@5.85",-665.0,195.34,-860.34
IronCondor,2024-04-04,2024-04-04 09:20:00,2024-04-04 09:31:00,entry,stop_loss,"SELL:NIFTY04APR24CE22650@16.45,BUY:NIFTY04APR24CE22750@4.4,SELL:NIFTY04APR24PE22450@17.8,BUY:NIFTY04APR24PE22350@6.7",-695.0,197.49,-892.49
