strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStraddle,2024-01-04,2024-01-04 09:20:00,2024-01-04 15:20:00,entry,time_exit,"SELL:NIFTY04JAN24CE21600@37.0,SELL:NIFTY04JAN24PE21600@41.35",1210.0,104.27,1105.73
ShortStraddle,2024-01-11,2024-01-11 09:20:00,2024-01-11 15:20:00,entry,time_exit,"SELL:NIFTY11JAN24CE21700@43.85,SELL:NIFTY11JAN24PE21700@35.75",1300.0,104.38,1195.62
ShortStraddle,2024-01-18,2024-01-18 09:20:00,2024-01-18 09:58:00,entry,stop_loss,"SELL:NIFTY18JAN24CE21450@55.4,SELL:NIFTY18JAN24PE21450@59.35",-3085.0,111.88,-3196.88
ShortStraddle,2024-01-25,2024-01-25 09:20:00,2024-01-25 15:13:00,entry,target,"SELL:NIFTY25JAN24CE21400@78.9,SELL:NIFTY25JAN24PE21400@56.0",3485.0,110.53,3374.47
ShortStraddle,2024-02-01,2024-02-01 09:20:00,2024-02-01 12:02:00,entry,target,"SELL:NIFTY01FEB24CE21750@105.9,SELL:NIFTY01FEB24PE21750@135.7",6997.5,122.82,6874.68
ShortStraddle,2024-02-08,2024-02-08 09:20:00,2024-02-08 10:58:00,entry,stop_loss,"SELL:NIFTY08FEB24CE22000@68.25,SELL:NIFTY08FEB24PE22000@50.95",-3270.0,112.6,-3382.6
ShortStraddle,2024-02-15,2024-02-15 09:20:00,2024-02-15 13:29:00,entry,target,"SELL:NIFTY15FEB24CE21900@59.95,SELL:NIFTY15FEB24PE21900@65.1",3100.0,109.43,2990.57
ShortStraddle,2024-02-22,2024-02-22 09:20:00,2024-02-22 10:04:00,entry,stop_loss,"SELL:NIFTY22FEB24CE22050@55.35,SELL:NIFTY22FEB24PE22050@72.4",-3380.0,113.83,-3493.83
ShortStraddle,2024-02-29,2024-02-29 09:20:00,2024-02-29 14:21:00,entry,target,"SELL:NIFTY29FEB24CE21900@85.05,SELL:NIFTY29FEB24PE21900@71.8",4037.5,113.17,3924.33
ShortStraddle,2024-03-07,2024-03-07 09:20:00,2024-03-07 11:53:00,entry,target,"SELL:NIFTY07MAR24CE22500@49.4,SELL:NIFTY07MAR24PE22500@62.0",2812.5,107.76,2704.74
ShortStraddle,2024-03-14,2024-03-14 09:20:00,2024-03-14 11:39:00,entry,stop_loss,"SELL:NIFTY14MAR24CE21950@70.45,SELL:NIFTY14MAR24PE21950@77.4",-3892.5,116.87,-4009.37
ShortStraddle,2024-03-21,2024-03-21 09:20:00,2024-03-21 12:54:00,entry,target,"SELL:NIFTY21MAR24CE22000@52.2,SELL:NIFTY21MAR24PE22000@52.55",2597.5,106.99,2490.51
ShortStraddle,2024-03-28,2024-03-28 09:20:00,2024-03-28 09:49:00,entry,stop_loss,"SELL:NIFTY28MAR24CE22200@55.65,SELL:NIFTY28MAR24PE22200@41.15",-2852.5,109.3,-2961.8
ShortStraddle,2024-04-04,2024-04-04 09:20:00,2024-04-04 09:45:00,entry,stop_loss,"SELL:NIFTY04APR24CE22550@51.7,SELL:NIFTY04APR24PE22550@51.2",-2860.0,110.14,-2970.14
ShortStraddle,2024-04-10,2024-04-10 09:20:00,2024-04-10 12:08:00,entry,target,"SELL:NIFTY10APR24CE22700@44.15,SELL:NIFTY10APR24PE22700@64.6",2765.0,107.43,2657.57
ShortStraddle,2024-04-18,2024-04-18 09:20:00,2024-04-18 13:27:00,entry,stop_loss,"SELL:NIFTY18APR24CE22250@40.65,SELL:NIFTY18APR24PE22250@48.3",-7165.0,110.91,-7275.91
ShortStraddle,2024-04-25,2024-04-25 09:20:00,2024-04-25 10:15:00,entry,stop_loss,"SELL:NIFTY25APR24CE22350@45.95,SELL:NIFTY25APR24PE22350@58.2",-2970.0,110.37,-3080.37
ShortStraddle,2024-05-02,2024-05-02 09:20:00,2024-05-02 14:15:00,entry,target,"SELL:NIFTY02MAY24CE22650@68.95,SELL:NIFTY02MAY24PE22650@57.55",3262.5,109.54,3152.96
ShortStraddle,2024-05-09,2024-05-09 09:20:00,2024-05-09 12:48:00,entry,stop_loss,"SELL:NIFTY09MAY24CE22300@60.3,SELL:NIFTY09MAY24PE22300@78.75",-3875.0,115.66,-3990.66
ShortStraddle,2024-05-16,2024-05-16 09:20:00,2024-05-16 10:23:00,entry,stop_loss,"SELL:NIFTY16MAY24CE22300@52.35,SELL:NIFTY16MAY24PE22300@68.1",-3022.5,112.61,-3135.11
ShortStraddle,2024-05-23,2024-05-23 09:20:00,2024-05-23 11:58:00,entry,stop_loss,"SELL:NIFTY23MAY24CE22600@70.4,SELL:NIFTY23MAY24PE22600@61.65",-3422.5,114.44,-3536.94
ShortStraddle,2024-05-30,2024-05-30 09:20:00,2024-05-30 14:59:00,entry,stop_loss,"SELL:NIFTY30MAY24CE22700@80.1,SELL:NIFTY30MAY24PE22700@91.4",-5292.5,120.95,-5413.45
ShortStraddle,2024-06-06,2024-06-06 09:20:00,2024-06-06 13:23:00,entry,target,"SELL:NIFTY06JUN24CE22650@125.55,SELL:NIFTY06JUN24PE22650@134.05",6465.0,125.6,6339.4
ShortStraddle,2024-06-13,2024-06-13 09:20:00,2024-06-13 14:00:00,entry,target,"SELL:NIFTY13JUN24CE23450@53.45,SELL:NIFTY13JUN24PE23450@71.65",3142.5,109.42,3033.08
ShortStraddle,2024-06-20,2024-06-20 09:20:00,2024-06-20 11:17:00,entry,target,"SELL:NIFTY20JUN24CE23500@67.1,SELL:NIFTY20JUN24PE23500@92.0",3942.5,113.53,3828.97
ShortStraddle,2024-06-27,2024-06-27 09:20:00,2024-06-27 15:20:00,entry,time_exit,"SELL:NIFTY27JUN24CE23850@65.25,SELL:NIFTY27JUN24PE23850@80.3",-3057.5,116.04,-3173.54
ShortStraddle,2024-07-04,2024-07-04 09:20:00,2024-07-04 11:29:00,entry,target,"SELL:NIFTY04JUL24CE24350@51.4,SELL:NIFTY04JUL24PE24350@65.55",2932.5,108.43,2824.07
ShortStraddle,2024-07-11,2024-07-11 09:20:00,2024-07-11 12:04:00,entry,stop_loss,"SELL:NIFTY11JUL24CE24350@49.3,SELL:NIFTY11JUL24PE24350@52.25",-3125.0,110.1,-3235.1
ShortStraddle,2024-07-18,2024-07-18 09:20:00,2024-07-18 10:11:00,entry,stop_loss,"SELL:NIFTY18JUL24CE24550@60.6,SELL:NIFTY18JUL24PE24550@44.55",-2532.5,110.24,-2642.74
ShortStraddle,2024-07-25,2024-07-25 09:20:00,2024-07-25 15:20:00,entry,time_exit,"SELL:NIFTY25JUL24CE24250@56.7,SELL:NIFTY25JUL24PE24250@93.65",-82.5,114.84,-197.34
ShortStraddle,2024-08-01,2024-08-01 09:20:00,2024-08-01 11:08:00,entry,target,"SELL:NIFTY01AUG24CE25050@64.9,SELL:NIFTY01AUG24PE25050@57.95",3112.5,109.13,3003.37
ShortStraddle,2024-08-08,2024-08-08 09:20:00,2024-08-08 14:08:00,entry,target,"SELL:NIFTY08AUG24CE24200@101.25,SELL:NIFTY08AUG24PE24200@87.35",4725.0,117.04,4607.96
ShortStraddle,2024-08-14,2024-08-14 09:20:00,2024-08-14 11:13:00,entry,target,"SELL:NIFTY14AUG24CE24150@62.15,SELL:NIFTY14AUG24PE24150@66.3",3210.0,109.82,3100.18
ShortStraddle,2024-08-22,2024-08-22 09:20:00,2024-08-22 10:51:00,entry,target,"SELL:NIFTY22AUG24CE24800@51.6,SELL:NIFTY22AUG24PE24800@58.85",2840.0,107.62,2732.38
ShortStraddle,2024-08-29,2024-08-29 09:20:00,2024-08-29 15:20:00,entry,time_exit,"SELL:NIFTY29AUG24CE25050@51.45,SELL:NIFTY29AUG24PE25050@58.8",325.0,109.15,215.85
ShortStraddle,2024-09-05,2024-09-05 09:20:00,2024-09-05 15:20:00,entry,time_exit,"SELL:NIFTY05SEP24CE25250@60.75,SELL:NIFTY05SEP24PE25250@56.8",712.5,109.89,602.61
ShortStraddle,2024-09-12,2024-09-12 09:20:00,2024-09-12 14:05:00,entry,stop_loss,"SELL:NIFTY12SEP24CE25000@58.1,SELL:NIFTY12SEP24PE25000@46.5",-3645.0,110.84,-3755.84
ShortStraddle,2024-09-19,2024-09-19 09:20:00,2024-09-19 11:41:00,entry,stop_loss,"SELL:NIFTY19SEP24CE25600@54.65,SELL:NIFTY19SEP24PE25600@64.75",-3490.0,112.75,-3602.75
ShortStraddle,2024-09-26,2024-09-26 09:20:00,2024-09-26 15:03:00,entry,stop_loss,"SELL:NIFTY26SEP24CE26050@69.25,SELL:NIFTY26SEP24PE26050@60.0",-3840.0,114.31,-3954.31
