strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStrangle,2024-01-04,2024-01-04 09:20:00,2024-01-04 10:51:00,entry,target,"SELL:NIFTY04JAN24CE21700@7.55,SELL:NIFTY04JAN24PE21500@10.75",462.5,96.59,365.91
ShortStrangle,2024-01-11,2024-01-11 09:20:00,2024-01-11 11:52:00,entry,target,"SELL:NIFTY11JAN24CE21800@9.4,SELL:NIFTY11JAN24PE21600@10.3",500.0,96.76,403.24
ShortStrangle,2024-01-18,2024-01-18 09:20:00,2024-01-18 09:52:00,entry,stop_loss,"SELL:NIFTY18JAN24CE21550@18.4,SELL:NIFTY18JAN24PE21350@25.55",-1290.0,101.16,-1391.16
ShortStrangle,2024-01-25,2024-01-25 09:20:00,2024-01-25 10:55:00,entry,stop_loss,"SELL:NIFTY25JAN24CE21500@32.95,SELL:NIFTY25JAN24PE21300@27.65",-1477.5,103.54,-1581.04
ShortStrangle,2024-02-01,2024-02-01 09:20:00,2024-02-01 12:00:00,entry,target,"SELL:NIFTY01FEB24CE21850@69.6,SELL:NIFTY01FEB24PE21650@88.9",3995.0,113.42,3881.58
ShortStrangle,2024-02-08,2024-02-08 09:20:00,2024-02-08 10:45:00,entry,stop_loss,"SELL:NIFTY08FEB24CE22100@26.95,SELL:NIFTY08FEB24PE21900@21.2",-1175.0,101.67,-1276.67
ShortStrangle,2024-02-15,2024-02-15 09:20:00,2024-02-15 11:17:00,entry,target,"SELL:NIFTY15FEB24CE22000@23.9,SELL:NIFTY15FEB24PE21800@29.0",1330.0,100.75,1229.25
ShortStrangle,2024-02-22,2024-02-22 09:20:00,2024-02-22 10:00:00,entry,stop_loss,"SELL:NIFTY22FEB24CE22150@23.7,SELL:NIFTY22FEB24PE21950@31.35",-1742.5,102.96,-1845.46
ShortStrangle,2024-02-29,2024-02-29 09:20:00,2024-02-29 12:19:00,entry,target,"SELL:NIFTY29FEB24CE22000@43.25,SELL:NIFTY29FEB24PE21800@35.15",1962.5,103.81,1858.69
ShortStrangle,2024-03-07,2024-03-07 09:20:00,2024-03-07 10:17:00,entry,target,"SELL:NIFTY07MAR24CE22600@16.9,SELL:NIFTY07MAR24PE22400@25.75",1070.0,99.52,970.48
ShortStrangle,2024-03-14,2024-03-14 09:20:00,2024-03-14 10:31:00,entry,target,"SELL:NIFTY14MAR24CE22050@34.4,SELL:NIFTY14MAR24PE21850@38.0",1835.0,103.07,1731.93
ShortStrangle,2024-03-21,2024-03-21 09:20:00,2024-03-21 11:20:00,entry,target,"SELL:NIFTY21MAR24CE22100@18.95,SELL:NIFTY21MAR24PE21900@18.45",960.0,98.88,861.12
ShortStrangle,2024-03-28,2024-03-28 09:20:00,2024-03-28 09:45:00,entry,stop_loss,"SELL:NIFTY28MAR24CE22300@16.75,SELL:NIFTY28MAR24PE22100@15.3",-845.0,99.27,-944.27
ShortStrangle,2024-04-04,2024-04-04 09:20:00,2024-04-04 09:31:00,entry,stop_loss,"SELL:NIFTY04APR24CE22650@16.45,SELL:NIFTY04APR24PE22450@17.8",-1470.0,99.95,-1569.95
