strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ThreePMV2CallLevelStop,2024-01-04,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,spot_level_stop,BUY:NIFTY04JAN24CE21650@94.7,-1532.5,56.84,-1589.34
ThreePMV2CallLevelStop,2024-01-11,2024-01-05 15:16:00,2024-01-08 09:15:00,entry,next_day_open,BUY:NIFTY11JAN24CE21700@119.6,107.5,63.64,43.86
ThreePMV2CallLevelStop,2024-01-25,2024-01-18 15:16:00,2024-01-19 09:15:00,entry,next_day_open,BUY:NIFTY25JAN24CE21450@208.15,2552.5,80.76,2471.74
ThreePMV2CallLevelStop,2024-02-01,2024-01-25 15:16:00,2024-01-29 09:15:00,entry,next_day_open,BUY:NIFTY01FEB24CE21350@211.85,795.0,77.59,717.41
ThreePMV2CallLevelStop,2024-02-01,2024-01-31 15:16:00,2024-02-01 09:15:00,entry,next_day_open,BUY:NIFTY01FEB24CE21750@122.65,-170.0,63.48,-233.48
ThreePMV2CallLevelStop,2024-02-08,2024-02-02 15:16:00,2024-02-05 09:16:00,entry,spot_level_stop,BUY:NIFTY08FEB24CE21850@172.95,-872.5,68.83,-941.33
ThreePMV2CallLevelStop,2024-02-08,2024-02-05 15:16:00,2024-02-06 09:15:00,entry,next_day_open,BUY:NIFTY08FEB24CE21750@137.0,67.5,65.93,1.57
ThreePMV2CallLevelStop,2024-02-08,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,target,BUY:NIFTY08FEB24CE21900@126.35,3410.0,71.46,3338.54
ThreePMV2CallLevelStop,2024-02-15,2024-02-12 15:16:00,2024-02-13 09:15:00,entry,next_day_open,BUY:NIFTY15FEB24CE21600@146.2,1227.5,69.59,1157.91
ThreePMV2CallLevelStop,2024-02-15,2024-02-13 15:16:00,2024-02-14 09:16:00,entry,spot_level_stop,BUY:NIFTY15FEB24CE21750@117.8,-4100.0,54.6,-4154.6
ThreePMV2CallLevelStop,2024-02-15,2024-02-14 15:16:00,2024-02-15 09:15:00,entry,next_day_open,BUY:NIFTY15FEB24CE21800@101.85,1947.5,65.08,1882.42
ThreePMV2CallLevelStop,2024-02-22,2024-02-21 15:16:00,2024-02-22 09:16:00,entry,spot_level_stop,BUY:NIFTY22FEB24CE22100@52.4,-537.5,53.18,-590.68
ThreePMV2CallLevelStop,2024-02-29,2024-02-26 15:16:00,2024-02-27 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE22100@152.95,-842.5,66.18,-908.68
ThreePMV2CallLevelStop,2024-02-29,2024-02-27 15:16:00,2024-02-28 09:15:00,entry,next_day_open,BUY:NIFTY29FEB24CE22200@99.2,110.0,60.88,49.12
ThreePMV2CallLevelStop,2024-02-29,2024-02-28 15:16:00,2024-02-29 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE21950@62.05,215.0,56.07,158.93
ThreePMV2CallLevelStop,2024-03-07,2024-03-04 15:16:00,2024-03-05 09:16:00,entry,spot_level_stop,BUY:NIFTY07MAR24CE22400@118.3,-1332.5,60.45,-1392.95
ThreePMV2CallLevelStop,2024-03-14,2024-03-12 15:16:00,2024-03-13 09:15:00,entry,next_day_open,BUY:NIFTY14MAR24CE22350@114.0,727.5,64.18,663.32
ThreePMV2CallLevelStop,2024-04-10,2024-04-05 15:16:00,2024-04-08 09:15:00,entry,next_day_open,BUY:NIFTY10APR24CE22500@131.75,635.0,66.39,568.61
ThreePMV2CallLevelStop,2024-04-18,2024-04-16 15:16:00,2024-04-18 09:15:00,entry,next_day_open,BUY:NIFTY18APR24CE22150@91.1,420.0,60.43,359.57
