strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ThreePMDirectional,2024-01-04,2024-01-01 15:16:00,2024-01-02 09:16:00,entry,next_day_open,BUY:NIFTY04JAN24CE21750@127.65,-1480.0,57.12,-1537.12
ThreePMDirectional,2024-01-04,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY04JAN24CE21650@94.4,-1545.0,53.99,-1598.99
ThreePMDirectional,2024-01-04,2024-01-03 15:16:00,2024-01-04 09:16:00,entry,next_day_open,BUY:NIFTY04JAN24PE21500@64.3,-2350.0,50.25,-2400.25
ThreePMDirectional,2024-01-11,2024-01-01 15:16:00,2024-01-02 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24CE21750@234.05,-1332.5,67.08,-1399.58
ThreePMDirectional,2024-01-11,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24CE21650@203.0,-1482.5,64.04,-1546.54
ThreePMDirectional,2024-01-11,2024-01-03 15:16:00,2024-01-04 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24PE21500@150.55,-2075.0,58.51,-2133.51
ThreePMDirectional,2024-01-11,2024-01-04 15:16:00,2024-01-05 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24CE21650@154.15,1430.0,63.1,1366.9
ThreePMDirectional,2024-01-11,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY11JAN24CE21700@119.25,77.5,58.25,19.25
ThreePMDirectional,2024-01-11,2024-01-08 15:16:00,2024-01-09 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24CE21500@113.05,3417.5,61.74,3355.76
ThreePMDirectional,2024-01-11,2024-01-09 15:16:00,2024-01-10 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24PE21550@87.85,57.5,55.34,2.16
ThreePMDirectional,2024-01-11,2024-01-10 15:16:00,2024-01-11 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24CE21600@88.6,1362.5,56.99,1305.51
ThreePMDirectional,2024-01-18,2024-01-01 15:16:00,2024-01-02 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24CE21750@318.75,-1065.0,75.19,-1140.19
ThreePMDirectional,2024-01-18,2024-01-03 15:16:00,2024-01-04 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24PE21500@201.35,-1800.0,63.5,-1863.5
ThreePMDirectional,2024-01-18,2024-01-04 15:16:00,2024-01-05 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24CE21650@242.05,1452.5,71.21,1381.29
ThreePMDirectional,2024-01-18,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY18JAN24CE21700@198.3,-60.0,65.35,-125.35
ThreePMDirectional,2024-01-18,2024-01-08 15:16:00,2024-01-09 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24CE21500@202.3,2947.5,69.37,2878.13
ThreePMDirectional,2024-01-18,2024-01-09 15:16:00,2024-01-10 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24PE21550@150.95,115.0,61.21,53.79
ThreePMDirectional,2024-01-18,2024-01-10 15:16:00,2024-01-11 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24CE21600@190.75,1260.0,66.25,1193.75
ThreePMDirectional,2024-01-18,2024-01-11 15:16:00,2024-01-12 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24PE21650@134.45,-1835.0,57.32,-1892.32
ThreePMDirectional,2024-01-18,2024-01-12 15:16:00,2024-01-12 15:30:00,entry,next_day_open,BUY:NIFTY18JAN24CE21900@142.55,702.5,61.15,641.35
ThreePMDirectional,2024-01-18,2024-01-15 15:16:00,2024-01-16 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24CE22100@120.7,-1902.5,55.98,-1958.48
ThreePMDirectional,2024-01-18,2024-01-16 15:16:00,2024-01-17 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24PE22000@83.8,4607.5,60.5,4547.0
ThreePMDirectional,2024-01-18,2024-01-17 15:16:00,2024-01-18 09:16:00,entry,next_day_open,BUY:NIFTY18JAN24PE21600@92.05,3712.5,60.17,3652.33
ThreePMDirectional,2024-01-25,2024-01-01 15:16:00,2024-01-02 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21750@390.05,-1170.0,81.61,-1251.61
ThreePMDirectional,2024-01-25,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21650@361.3,-1675.0,78.35,-1753.35
ThreePMDirectional,2024-01-25,2024-01-03 15:16:00,2024-01-04 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24PE21500@242.5,-1720.0,67.38,-1787.38
ThreePMDirectional,2024-01-25,2024-01-04 15:16:00,2024-01-05 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21650@326.35,1382.5,78.87,1303.63
ThreePMDirectional,2024-01-25,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY25JAN24CE21700@283.35,-17.5,73.21,-90.71
ThreePMDirectional,2024-01-25,2024-01-08 15:16:00,2024-01-09 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21500@284.1,2892.5,76.81,2815.69
ThreePMDirectional,2024-01-25,2024-01-09 15:16:00,2024-01-10 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24PE21550@201.65,265.0,66.04,198.96
ThreePMDirectional,2024-01-25,2024-01-10 15:16:00,2024-01-11 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21600@272.85,1472.5,74.05,1398.45
ThreePMDirectional,2024-01-25,2024-01-11 15:16:00,2024-01-12 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24PE21650@192.7,-2020.0,62.45,-2082.45
ThreePMDirectional,2024-01-25,2024-01-12 15:16:00,2024-01-12 15:30:00,entry,next_day_open,BUY:NIFTY25JAN24CE21900@230.2,565.0,69.04,495.96
