strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ThreePMV2CallLevelStop,2024-01-04,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,spot_level_stop,BUY:NIFTY04JAN24CE21650@94.4,-1507.5,54.04,-1561.54
ThreePMV2CallLevelStop,2024-01-11,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,spot_level_stop,BUY:NIFTY11JAN24CE21650@203.0,-1517.5,64.0,-1581.5
ThreePMV2CallLevelStop,2024-01-11,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY11JAN24CE21700@119.25,77.5,58.25,19.25
ThreePMV2CallLevelStop,2024-01-18,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY18JAN24CE21700@198.3,-60.0,65.35,-125.35
ThreePMV2CallLevelStop,2024-01-25,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,spot_level_stop,BUY:NIFTY25JAN24CE21650@361.3,-1627.5,78.41,-1705.91
ThreePMV2CallLevelStop,2024-01-25,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY25JAN24CE21700@283.35,-17.5,73.21,-90.71
ThreePMV2CallLevelStop,2024-01-25,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24CE21450@207.55,3167.5,70.12,3097.38
ThreePMV2CallLevelStop,2024-02-01,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY01FEB24CE21700@357.05,77.5,80.1,-2.6
ThreePMV2CallLevelStop,2024-02-01,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY01FEB24CE21450@323.4,3225.0,80.83,3144.17
ThreePMV2CallLevelStop,2024-02-01,2024-01-25 15:16:00,2024-01-25 15:30:00,entry,next_day_open,BUY:NIFTY01FEB24CE21350@211.2,862.5,67.65,794.85
ThreePMV2CallLevelStop,2024-02-01,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY01FEB24CE21750@122.3,-172.5,58.23,-230.73
ThreePMV2CallLevelStop,2024-02-08,2024-01-25 15:16:00,2024-01-25 15:29:00,entry,next_day_open,BUY:NIFTY08FEB24CE21350@293.9,800.0,75.17,724.83
ThreePMV2CallLevelStop,2024-02-08,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24CE21750@250.95,-432.5,69.72,-502.22
ThreePMV2CallLevelStop,2024-02-08,2024-02-02 15:16:00,2024-02-02 15:30:00,entry,next_day_open,BUY:NIFTY08FEB24CE21850@172.45,-75.0,62.96,-137.96
ThreePMV2CallLevelStop,2024-02-08,2024-02-05 15:16:00,2024-02-06 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24CE21750@136.6,865.0,60.8,804.2
ThreePMV2CallLevelStop,2024-02-08,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24CE21900@125.95,3460.0,62.98,3397.02
ThreePMV2CallLevelStop,2024-02-15,2024-01-25 15:16:00,2024-01-25 15:30:00,entry,next_day_open,BUY:NIFTY15FEB24CE21350@340.35,-757.5,77.55,-835.05
ThreePMV2CallLevelStop,2024-02-15,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24CE21750@318.4,-170.0,76.24,-246.24
ThreePMV2CallLevelStop,2024-02-15,2024-02-02 15:16:00,2024-02-02 15:29:00,entry,next_day_open,BUY:NIFTY15FEB24CE21850@266.6,-167.5,71.49,-238.99
ThreePMV2CallLevelStop,2024-02-15,2024-02-05 15:16:00,2024-02-06 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24CE21750@229.8,1242.5,69.83,1172.67
ThreePMV2CallLevelStop,2024-02-15,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24CE21900@229.5,3557.5,72.61,3484.89
ThreePMV2CallLevelStop,2024-02-15,2024-02-12 15:16:00,2024-02-13 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24CE21600@145.75,1035.0,61.85,973.15
ThreePMV2CallLevelStop,2024-02-15,2024-02-13 15:16:00,2024-02-14 09:16:00,entry,spot_level_stop,BUY:NIFTY15FEB24CE21750@117.45,-4077.5,53.03,-4130.53
ThreePMV2CallLevelStop,2024-02-15,2024-02-14 15:16:00,2024-02-15 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24CE21800@101.55,1397.5,58.22,1339.28
ThreePMV2CallLevelStop,2024-02-22,2024-02-02 15:16:00,2024-02-02 15:29:00,entry,next_day_open,BUY:NIFTY22FEB24CE21850@327.05,-205.0,77.0,-282.0
ThreePMV2CallLevelStop,2024-02-22,2024-02-05 15:16:00,2024-02-05 15:29:00,entry,next_day_open,BUY:NIFTY22FEB24CE21750@289.6,-20.0,73.78,-93.78
ThreePMV2CallLevelStop,2024-02-22,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,next_day_open,BUY:NIFTY22FEB24CE21900@295.55,3572.5,78.7,3493.8
ThreePMV2CallLevelStop,2024-02-22,2024-02-12 15:16:00,2024-02-13 09:16:00,entry,next_day_open,BUY:NIFTY22FEB24CE21600@250.8,1085.0,71.56,1013.44
ThreePMV2CallLevelStop,2024-02-22,2024-02-13 15:16:00,2024-02-14 09:16:00,entry,spot_level_stop,BUY:NIFTY22FEB24CE21750@222.3,-4472.5,62.18,-4534.68
ThreePMV2CallLevelStop,2024-02-22,2024-02-14 15:16:00,2024-02-15 09:16:00,entry,next_day_open,BUY:NIFTY22FEB24CE21800@212.35,1460.0,68.49,1391.51
ThreePMV2CallLevelStop,2024-02-22,2024-02-21 15:16:00,2024-02-22 09:16:00,entry,spot_level_stop,BUY:NIFTY22FEB24CE22100@52.25,-522.5,51.36,-573.86
ThreePMV2CallLevelStop,2024-02-29,2024-01-02 15:16:00,2024-01-02 15:25:00,entry,next_day_open,BUY:NIFTY29FEB24CE21650@623.7,-320.0,104.11,-424.11
ThreePMV2CallLevelStop,2024-02-29,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY29FEB24CE21700@545.15,75.0,97.37,-22.37
ThreePMV2CallLevelStop,2024-02-29,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21450@517.0,2900.0,98.23,2801.77
ThreePMV2CallLevelStop,2024-02-29,2024-01-25 15:16:00,2024-01-25 15:29:00,entry,next_day_open,BUY:NIFTY29FEB24CE21350@427.05,1202.5,87.89,1114.61
ThreePMV2CallLevelStop,2024-02-29,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21750@405.25,-182.5,84.21,-266.71
ThreePMV2CallLevelStop,2024-02-29,2024-02-02 15:16:00,2024-02-02 15:29:00,entry,next_day_open,BUY:NIFTY29FEB24CE21850@378.3,467.5,82.52,384.98
ThreePMV2CallLevelStop,2024-02-29,2024-02-05 15:16:00,2024-02-06 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21750@343.55,1835.0,80.99,1754.01
ThreePMV2CallLevelStop,2024-02-29,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21900@356.3,3582.5,84.29,3498.21
ThreePMV2CallLevelStop,2024-02-29,2024-02-12 15:16:00,2024-02-13 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21600@330.3,1250.0,79.07,1170.93
ThreePMV2CallLevelStop,2024-02-29,2024-02-13 15:16:00,2024-02-14 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE21750@307.7,-4742.5,69.7,-4812.2
ThreePMV2CallLevelStop,2024-02-29,2024-02-14 15:16:00,2024-02-15 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE21800@299.1,1545.0,76.56,1468.44
ThreePMV2CallLevelStop,2024-02-29,2024-02-21 15:16:00,2024-02-22 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE22100@183.4,-92.5,63.94,-156.44
ThreePMV2CallLevelStop,2024-02-29,2024-02-26 15:16:00,2024-02-27 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE22100@152.5,-800.0,60.24,-860.24
ThreePMV2CallLevelStop,2024-02-29,2024-02-27 15:16:00,2024-02-28 09:16:00,entry,next_day_open,BUY:NIFTY29FEB24CE22200@98.9,250.0,56.59,193.41
ThreePMV2CallLevelStop,2024-02-29,2024-02-28 15:16:00,2024-02-29 09:16:00,entry,spot_level_stop,BUY:NIFTY29FEB24CE21950@61.85,235.0,53.17,181.83
ThreePMV2CallLevelStop,2024-03-07,2024-02-13 15:16:00,2024-02-14 09:16:00,entry,spot_level_stop,BUY:NIFTY07MAR24CE21750@387.9,-5925.0,75.63,-6000.63
ThreePMV2CallLevelStop,2024-03-07,2024-02-21 15:16:00,2024-02-22 09:16:00,entry,spot_level_stop,BUY:NIFTY07MAR24CE22100@295.05,-137.5,74.13,-211.63
ThreePMV2CallLevelStop,2024-03-07,2024-02-26 15:16:00,2024-02-27 09:16:00,entry,spot_level_stop,BUY:NIFTY07MAR24CE22100@282.95,-615.0,72.45,-687.45
ThreePMV2CallLevelStop,2024-03-07,2024-02-27 15:16:00,2024-02-28 09:16:00,entry,next_day_open,BUY:NIFTY07MAR24CE22200@235.05,452.5,69.34,383.16
