strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ThreePMV2Put,2024-01-04,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY04JAN24PE21650@79.85,1112.5,55.89,1056.61
ThreePMV2Put,2024-01-11,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY11JAN24PE21650@157.35,1080.0,62.97,1017.03
ThreePMV2Put,2024-01-11,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY11JAN24PE21700@99.5,-352.5,55.91,-408.41
ThreePMV2Put,2024-01-18,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY18JAN24PE21700@151.6,-482.5,60.54,-543.04
ThreePMV2Put,2024-01-25,2024-01-02 15:16:00,2024-01-03 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24PE21650@250.85,1037.5,71.51,965.99
ThreePMV2Put,2024-01-25,2024-01-05 15:16:00,2024-01-05 15:29:00,entry,next_day_open,BUY:NIFTY25JAN24PE21700@201.15,-367.5,65.23,-432.73
ThreePMV2Put,2024-01-25,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY25JAN24PE21450@132.6,-2732.5,56.06,-2788.56
ThreePMV2Put,2024-02-01,2024-01-05 15:16:00,2024-01-05 15:27:00,entry,next_day_open,BUY:NIFTY01FEB24PE21700@238.65,-335.0,68.71,-403.71
ThreePMV2Put,2024-02-01,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY01FEB24PE21450@189.15,-2447.5,61.6,-2509.1
ThreePMV2Put,2024-02-01,2024-01-25 15:16:00,2024-01-25 15:30:00,entry,next_day_open,BUY:NIFTY01FEB24PE21350@153.55,-1180.0,59.87,-1239.87
ThreePMV2Put,2024-02-01,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY01FEB24PE21750@137.35,240.0,60.11,179.89
ThreePMV2Put,2024-02-08,2024-01-18 15:16:00,2024-01-19 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24PE21450@234.15,-2710.0,65.41,-2775.41
ThreePMV2Put,2024-02-08,2024-01-25 15:16:00,2024-01-25 15:29:00,entry,next_day_open,BUY:NIFTY08FEB24PE21350@202.65,-757.5,64.89,-822.39
ThreePMV2Put,2024-02-08,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24PE21750@248.2,-747.5,69.09,-816.59
ThreePMV2Put,2024-02-08,2024-02-02 15:16:00,2024-02-02 15:30:00,entry,next_day_open,BUY:NIFTY08FEB24PE21850@140.8,-285.0,59.79,-344.79
ThreePMV2Put,2024-02-08,2024-02-05 15:16:00,2024-02-06 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24PE21750@150.6,-1412.5,59.32,-1471.82
ThreePMV2Put,2024-02-08,2024-02-06 15:16:00,2024-02-07 09:16:00,entry,next_day_open,BUY:NIFTY08FEB24PE21900@113.2,-2997.5,53.96,-3051.46
ThreePMV2Put,2024-02-15,2024-01-31 15:16:00,2024-02-01 09:16:00,entry,next_day_open,BUY:NIFTY15FEB24PE21750@302.55,-1310.0,73.4,-1383.4
