strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMDirectional,2021-01-07,2021-01-01 15:16:00,2021-01-04 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14000PE@97.05,-2060.0,56.05,-2116.05,
ThreePMDirectional,2021-01-07,2021-01-04 15:16:00,2021-01-05 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14100CE@97.6,-1392.5,57.52,-1450.02,
ThreePMDirectional,2021-01-07,2021-01-05 15:16:00,2021-01-06 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14050CE@176.95,257.5,71.74,185.76,
ThreePMDirectional,2021-01-07,2021-01-06 15:16:00,2021-01-07 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14200CE@35.7,1217.5,54.59,1162.91,
ThreePMDirectional,2021-01-14,2021-01-08 15:16:00,2021-01-11 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14250CE@166.4,4140.0,78.43,4061.57,
ThreePMDirectional,2021-01-14,2021-01-11 15:16:00,2021-01-12 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14450CE@102.45,-420.0,60.21,-480.21,
ThreePMDirectional,2021-01-14,2021-01-12 15:16:00,2021-01-13 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14450CE@157.45,-17.5,68.52,-86.02,
ThreePMDirectional,2021-01-14,2021-01-13 15:16:00,2021-01-14 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_14650CE@18.6,-495.0,48.69,-543.69,
ThreePMDirectional,2021-01-21,2021-01-15 15:16:00,2021-01-18 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14600PE@218.0,312.5,77.42,235.08,
ThreePMDirectional,2021-01-21,2021-01-18 15:16:00,2021-01-19 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14400PE@177.6,-2552.5,65.95,-2618.45,
ThreePMDirectional,2021-01-21,2021-01-19 15:16:00,2021-01-20 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14400PE@27.7,35.0,51.03,-16.03,
ThreePMDirectional,2021-01-21,2021-01-20 15:16:00,2021-01-21 09:16:00,entry,time_exit,BUY:NIFTY_DHAN_14550PE@17.65,-732.5,48.06,-780.56,
ThreePMDirectional,2021-01-28,2021-01-22 15:16:00,2021-01-25 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14550PE@239.9,-3480.0,72.46,-3552.46,
