strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMV2Put,2021-01-07,2021-01-05 15:16:00,2021-01-06 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14050PE@35.9,-427.5,51.18,-478.68,
ThreePMV2Put,2021-01-14,2021-01-08 15:16:00,2021-01-11 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14250PE@78.4,-1230.0,55.27,-1285.27,
ThreePMV2Put,2021-01-14,2021-01-11 15:16:00,2021-01-12 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14450PE@94.65,280.0,60.62,219.38,
ThreePMV2Put,2021-01-14,2021-01-12 15:16:00,2021-01-13 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14450PE@40.0,-507.5,51.56,-559.06,
ThreePMV2Put,2021-02-04,2021-02-02 15:16:00,2021-02-03 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14500PE@45.2,-1015.0,51.2,-1066.2,
ThreePMV2Put,2021-02-18,2021-02-15 15:16:00,2021-02-16 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_15300PE@85.65,-497.5,57.78,-555.28,
ThreePMV2Put,2021-02-25,2021-02-23 15:16:00,2021-02-24 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14750PE@111.45,-1372.5,59.44,-1431.94,
ThreePMV2Put,2021-03-10,2021-03-09 15:16:00,2021-03-10 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_15100PE@62.5,-2402.5,50.65,-2453.15,
ThreePMV2Put,2021-03-25,2021-03-19 15:16:00,2021-03-22 09:15:00,entry,next_day_open,BUY:NIFTY_DHAN_14500PE@87.7,-402.5,58.25,-460.75,
ThreePMV2Put,2021-03-25,2021-03-23 15:16:00,2021-03-24 09:16:00,entry,time_exit,BUY:NIFTY_DHAN_14800PE@80.95,2345.0,63.08,2281.92,
ThreePMV2Put,2021-04-15,2021-04-13 15:16:00,2021-04-15 09:16:00,entry,next_day_open,BUY:NIFTY_DHAN_14400PE@43.05,-1082.5,50.78,-1133.28,
ThreePMV2Put,2021-04-22,2021-04-19 15:16:00,2021-04-20 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_14300PE@108.95,-3300.0,55.07,-3355.07,
ThreePMV2Put,2021-04-22,2021-04-20 15:16:00,2021-04-22 09:16:00,entry,target,BUY:NIFTY_DHAN_14500PE@216.7,6182.5,89.52,6092.98,
ThreePMV2Put,2021-04-29,2021-04-28 15:16:00,2021-04-29 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_14700PE@25.05,-1087.5,48.33,-1135.83,
ThreePMV2Put,2021-05-06,2021-05-05 15:16:00,2021-05-06 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_14550PE@43.65,-1282.5,50.44,-1332.94,
ThreePMV2Put,2021-05-12,2021-05-10 15:16:00,2021-05-11 09:16:00,entry,target,BUY:NIFTY_DHAN_14900PE@76.1,2767.5,63.3,2704.2,
