strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
ShortStraddle,2021-01-07,2021-01-01,2021-01-01 09:20:00,2021-01-01,2021-01-01 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14000CE@130.7,SELL:NIFTY_DHAN_14000PE@116.75",2422.5,124.67,2297.83,1
ShortStraddle,2021-01-07,2021-01-04,2021-01-04 09:20:00,2021-01-04,2021-01-04 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14100CE@92.8,SELL:NIFTY_DHAN_14100PE@86.0",660.0,116.95,543.05,1
ShortStraddle,2021-01-07,2021-01-05,2021-01-05 09:20:00,2021-01-05,2021-01-05 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14050CE@111.5,SELL:NIFTY_DHAN_14050PE@69.6",-2325.0,119.1,-2444.1,1
ShortStraddle,2021-01-07,2021-01-06,2021-01-06 09:20:00,2021-01-06,2021-01-06 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14200CE@80.45,SELL:NIFTY_DHAN_14200PE@59.15",1676.25,111.28,1564.97,1
ShortStraddle,2021-01-07,2021-01-07,2021-01-07 09:20:00,2021-01-07,2021-01-07 15:18:00,entry,stop_loss,0,Thursday,15,75,"SELL:NIFTY_DHAN_14250CE@27.35,SELL:NIFTY_DHAN_14250PE@49.4",-2913.75,106.07,-3019.82,1
ShortStraddle,2021-01-14,2021-01-08,2021-01-08 09:20:00,2021-01-08,2021-01-08 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14250CE@101.35,SELL:NIFTY_DHAN_14250PE@119.85",-1860.0,123.96,-1983.96,1
ShortStraddle,2021-01-14,2021-01-11,2021-01-11 09:20:00,2021-01-11,2021-01-11 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14450CE@79.8,SELL:NIFTY_DHAN_14450PE@126.05",686.25,120.41,565.84,1
ShortStraddle,2021-01-14,2021-01-12,2021-01-12 09:20:00,2021-01-12,2021-01-12 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14450CE@92.15,SELL:NIFTY_DHAN_14450PE@95.55",-678.75,118.93,-797.68,1
ShortStraddle,2021-01-14,2021-01-13,2021-01-13 09:20:00,2021-01-13,2021-01-13 14:04:00,entry,stop_loss,1,Wednesday,14,75,"SELL:NIFTY_DHAN_14650CE@45.4,SELL:NIFTY_DHAN_14650PE@90.05",-5733.75,115.36,-5849.11,1
ShortStraddle,2021-01-14,2021-01-14,2021-01-14 09:20:00,2021-01-14,2021-01-14 14:50:00,entry,target,0,Thursday,14,75,"SELL:NIFTY_DHAN_14550CE@41.55,SELL:NIFTY_DHAN_14550PE@40.15",3075.0,102.99,2972.01,1
ShortStraddle,2021-01-21,2021-01-15,2021-01-15 09:20:00,2021-01-15,2021-01-15 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14600CE@130.15,SELL:NIFTY_DHAN_14600PE@134.6",-2280.0,129.82,-2409.82,1
ShortStraddle,2021-01-21,2021-01-18,2021-01-18 09:20:00,2021-01-18,2021-01-18 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14400CE@144.65,SELL:NIFTY_DHAN_14400PE@132.3",1046.25,129.32,916.93,1
ShortStraddle,2021-01-21,2021-01-19,2021-01-19 09:20:00,2021-01-19,2021-01-19 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14400CE@110.2,SELL:NIFTY_DHAN_14400PE@99.4",-86.25,121.37,-207.62,1
ShortStraddle,2021-01-21,2021-01-20,2021-01-20 09:20:00,2021-01-20,2021-01-20 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14550CE@76.6,SELL:NIFTY_DHAN_14550PE@67.85",1578.75,111.97,1466.78,1
ShortStraddle,2021-01-21,2021-01-21,2021-01-21 09:20:00,2021-01-21,2021-01-21 14:29:00,entry,target,0,Thursday,14,75,"SELL:NIFTY_DHAN_14700CE@39.15,SELL:NIFTY_DHAN_14700PE@25.45",2486.25,101.15,2385.1,1
ShortStraddle,2021-01-28,2021-01-22,2021-01-22 09:20:00,2021-01-22,2021-01-22 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14550CE@156.55,SELL:NIFTY_DHAN_14550PE@124.55",-1383.75,131.36,-1515.11,1
ShortStraddle,2021-01-28,2021-01-25,2021-01-25 09:20:00,2021-01-25,2021-01-25 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14450CE@127.55,SELL:NIFTY_DHAN_14450PE@114.6",-1507.5,126.44,-1633.94,1
ShortStraddle,2021-01-28,2021-01-27,2021-01-27 09:20:00,2021-01-27,2021-01-27 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14150CE@105.35,SELL:NIFTY_DHAN_14150PE@87.0",-232.5,119.24,-351.74,1
ShortStraddle,2021-01-28,2021-01-28,2021-01-28 09:20:00,2021-01-28,2021-01-28 15:02:00,entry,target,0,Thursday,15,75,"SELL:NIFTY_DHAN_13850CE@45.2,SELL:NIFTY_DHAN_13850PE@75.65",5291.25,106.63,5184.62,1
ShortStraddle,2021-02-04,2021-01-29,2021-01-29 09:20:00,2021-01-29,2021-01-29 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_13950CE@210.15,SELL:NIFTY_DHAN_13950PE@208.45",-6363.75,152.12,-6515.87,1
ShortStraddle,2021-02-04,2021-02-01,2021-02-01 09:20:00,2021-02-01,2021-02-01 15:16:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_13750CE@192.1,SELL:NIFTY_DHAN_13750PE@235.05",-11208.75,156.23,-11364.98,1
ShortStraddle,2021-02-04,2021-02-02,2021-02-02 09:20:00,2021-02-02,2021-02-02 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14500CE@149.75,SELL:NIFTY_DHAN_14500PE@94.2",183.75,125.62,58.13,1
ShortStraddle,2021-02-04,2021-02-03,2021-02-03 09:20:00,2021-02-03,2021-02-03 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14700CE@60.35,SELL:NIFTY_DHAN_14700PE@165.7",5032.5,120.31,4912.19,1
ShortStraddle,2021-02-04,2021-02-04,2021-02-04 09:20:00,2021-02-04,2021-02-04 15:20:00,entry,time_exit,0,Thursday,15,75,"SELL:NIFTY_DHAN_14750CE@67.15,SELL:NIFTY_DHAN_14750PE@49.55",-2231.25,110.78,-2342.03,1
ShortStraddle,2021-02-11,2021-02-05,2021-02-05 09:20:00,2021-02-05,2021-02-05 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14950CE@168.1,SELL:NIFTY_DHAN_14950PE@162.55",1875.0,135.7,1739.3,1
ShortStraddle,2021-02-11,2021-02-08,2021-02-08 09:20:00,2021-02-08,2021-02-08 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15100CE@124.55,SELL:NIFTY_DHAN_15100PE@155.55",2707.5,128.69,2578.81,1
ShortStraddle,2021-02-11,2021-02-09,2021-02-09 09:20:00,2021-02-09,2021-02-09 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_15150CE@103.75,SELL:NIFTY_DHAN_15150PE@112.5",975.0,121.56,853.44,1
ShortStraddle,2021-02-11,2021-02-10,2021-02-10 09:20:00,2021-02-10,2021-02-10 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15150CE@84.1,SELL:NIFTY_DHAN_15150PE@94.9",2838.75,115.63,2723.12,1
ShortStraddle,2021-02-11,2021-02-11,2021-02-11 09:20:00,2021-02-11,2021-02-11 15:00:00,entry,target,0,Thursday,15,75,"SELL:NIFTY_DHAN_15100CE@57.5,SELL:NIFTY_DHAN_15100PE@51.25",4166.25,105.78,4060.47,1
ShortStraddle,2021-02-18,2021-02-12,2021-02-12 09:20:00,2021-02-12,2021-02-12 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15200CE@133.4,SELL:NIFTY_DHAN_15200PE@136.25",2073.75,127.75,1946.0,1
ShortStraddle,2021-02-18,2021-02-15,2021-02-15 09:20:00,2021-02-15,2021-02-15 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_15300CE@84.1,SELL:NIFTY_DHAN_15300PE@116.45",367.5,119.93,247.57,1
ShortStraddle,2021-02-18,2021-02-16,2021-02-16 09:20:00,2021-02-16,2021-02-16 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_15400CE@87.95,SELL:NIFTY_DHAN_15400PE@91.5",1053.75,116.8,936.95,1
ShortStraddle,2021-02-18,2021-02-17,2021-02-17 09:20:00,2021-02-17,2021-02-17 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_15250CE@83.4,SELL:NIFTY_DHAN_15250PE@71.75",2516.25,112.77,2403.48,1
ShortStraddle,2021-02-18,2021-02-18,2021-02-18 09:20:00,2021-02-18,2021-02-18 15:20:00,entry,time_exit,0,Thursday,15,75,"SELL:NIFTY_DHAN_15200CE@56.65,SELL:NIFTY_DHAN_15200PE@37.95",791.25,106.06,685.19,1
ShortStraddle,2021-02-25,2021-02-19,2021-02-19 09:20:00,2021-02-19,2021-02-19 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_15050CE@138.5,SELL:NIFTY_DHAN_15050PE@144.7",1785.0,129.65,1655.35,1
ShortStraddle,2021-02-25,2021-02-22,2021-02-22 09:20:00,2021-02-22,2021-02-22 14:21:00,entry,stop_loss,3,Monday,14,75,"SELL:NIFTY_DHAN_15000CE@95.8,SELL:NIFTY_DHAN_15000PE@152.75",-9528.75,132.23,-9660.98,1
ShortStraddle,2021-02-25,2021-02-23,2021-02-23 09:20:00,2021-02-23,2021-02-23 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14750CE@111.0,SELL:NIFTY_DHAN_14750PE@108.7",2396.25,121.13,2275.12,1
ShortStraddle,2021-02-25,2021-02-24,2021-02-24 09:20:00,2021-02-24,2021-02-24 10:08:00,entry,time_exit,1,Wednesday,10,75,"SELL:NIFTY_DHAN_14750CE@95.5,SELL:NIFTY_DHAN_14750PE@79.75",22.5,116.9,-94.4,1
ShortStraddle,2021-02-25,2021-02-25,2021-02-25 09:20:00,2021-02-25,2021-02-25 14:20:00,entry,target,0,Thursday,14,75,"SELL:NIFTY_DHAN_15100CE@75.8,SELL:NIFTY_DHAN_15100PE@33.9",4376.25,105.76,4270.49,1
