strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
IronCondor,2021-01-07,2021-01-01,2021-01-01 09:20:00,2021-01-01,2021-01-01 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14100CE@81.15,BUY:NIFTY_DHAN_14200CE@45.6,SELL:NIFTY_DHAN_13900PE@79.55,BUY:NIFTY_DHAN_13800PE@54.0",202.5,218.51,-16.01,1
IronCondor,2021-01-07,2021-01-04,2021-01-04 09:20:00,2021-01-04,2021-01-04 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14200CE@47.2,BUY:NIFTY_DHAN_14300CE@20.0,SELL:NIFTY_DHAN_14000PE@48.7,BUY:NIFTY_DHAN_13900PE@27.6",161.25,206.39,-45.14,1
IronCondor,2021-01-07,2021-01-05,2021-01-05 09:20:00,2021-01-05,2021-01-05 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14150CE@56.65,BUY:NIFTY_DHAN_14250CE@22.1,SELL:NIFTY_DHAN_13950PE@42.05,BUY:NIFTY_DHAN_13850PE@26.65",-1080.0,209.83,-1289.83,1
IronCondor,2021-01-07,2021-01-06,2021-01-06 09:20:00,2021-01-06,2021-01-06 15:20:00,entry,time_exit,1,Wednesday,15,75,"SELL:NIFTY_DHAN_14300CE@31.65,BUY:NIFTY_DHAN_14400CE@8.25,SELL:NIFTY_DHAN_14100PE@30.25,BUY:NIFTY_DHAN_14000PE@17.2",705.0,198.74,506.26,1
IronCondor,2021-01-07,2021-01-07,2021-01-07 09:20:00,2021-01-07,2021-01-07 11:02:00,entry,stop_loss,0,Thursday,11,75,"SELL:NIFTY_DHAN_14350CE@3.35,BUY:NIFTY_DHAN_14450CE@0.75,SELL:NIFTY_DHAN_14150PE@12.85,BUY:NIFTY_DHAN_14050PE@3.95",-633.75,192.2,-825.95,1
IronCondor,2021-01-14,2021-01-08,2021-01-08 09:20:00,2021-01-08,2021-01-08 15:20:00,entry,time_exit,6,Friday,15,75,"SELL:NIFTY_DHAN_14350CE@56.8,BUY:NIFTY_DHAN_14450CE@28.35,SELL:NIFTY_DHAN_14150PE@79.5,BUY:NIFTY_DHAN_14050PE@51.35",-498.75,218.76,-717.51,1
IronCondor,2021-01-14,2021-01-11,2021-01-11 09:20:00,2021-01-11,2021-01-11 15:20:00,entry,time_exit,3,Monday,15,75,"SELL:NIFTY_DHAN_14500CE@57.7,BUY:NIFTY_DHAN_14650CE@16.1,SELL:NIFTY_DHAN_14350PE@82.35,BUY:NIFTY_DHAN_14250PE@54.15",-318.75,214.89,-533.64,1
IronCondor,2021-01-14,2021-01-12,2021-01-12 09:20:00,2021-01-12,2021-01-12 15:20:00,entry,time_exit,2,Tuesday,15,75,"SELL:NIFTY_DHAN_14550CE@44.5,BUY:NIFTY_DHAN_14650CE@17.3,SELL:NIFTY_DHAN_14350PE@61.1,BUY:NIFTY_DHAN_14250PE@41.05",-648.75,209.94,-858.69,1
IronCondor,2021-01-14,2021-01-13,2021-01-13 09:20:00,2021-01-13,2021-01-13 13:59:00,entry,stop_loss,1,Wednesday,13,75,"SELL:NIFTY_DHAN_14750CE@15.25,BUY:NIFTY_DHAN_14850CE@4.6,SELL:NIFTY_DHAN_14550PE@45.65,BUY:NIFTY_DHAN_14450PE@22.8",-1395.0,203.75,-1598.75,1
IronCondor,2021-01-14,2021-01-14,2021-01-14 09:20:00,2021-01-14,2021-01-14 09:40:00,entry,stop_loss,0,Thursday,9,75,"SELL:NIFTY_DHAN_14650CE@7.6,BUY:NIFTY_DHAN_14750CE@1.2,SELL:NIFTY_DHAN_14450PE@11.9,BUY:NIFTY_DHAN_14350PE@3.1",-607.5,192.71,-800.21,1
