strategy,expiry,entry_date,entry_time,exit_date,exit_time,entry_reason,exit_reason,dte_at_entry,day_of_week,exit_hour,lot_size,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMDirectional,2021-01-07,2021-01-01,2021-01-01 15:16:00,2021-01-04,2021-01-04 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14000PE@97.05,-3090.0,56.29,-3146.29,1
ThreePMDirectional,2021-01-07,2021-01-04,2021-01-04 15:16:00,2021-01-05,2021-01-05 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_14100CE@97.6,-2088.75,57.46,-2146.21,1
ThreePMDirectional,2021-01-07,2021-01-05,2021-01-05 15:16:00,2021-01-06,2021-01-06 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14050CE@176.95,386.25,70.34,315.91,1
ThreePMDirectional,2021-01-07,2021-01-06,2021-01-06 15:16:00,2021-01-07,2021-01-07 09:15:00,entry,next_day_open,1,Wednesday,9,75,BUY:NIFTY_DHAN_14200CE@35.7,1826.25,53.77,1772.48,1
ThreePMDirectional,2021-01-14,2021-01-08,2021-01-08 15:16:00,2021-01-11,2021-01-11 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14250CE@166.4,6210.0,75.34,6134.66,1
ThreePMDirectional,2021-01-14,2021-01-11,2021-01-11 15:16:00,2021-01-12,2021-01-12 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_14450CE@102.45,-630.0,59.67,-689.67,1
ThreePMDirectional,2021-01-14,2021-01-12,2021-01-12 15:16:00,2021-01-13,2021-01-13 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14450CE@157.45,-26.25,67.4,-93.65,1
ThreePMDirectional,2021-01-14,2021-01-13,2021-01-13 15:16:00,2021-01-14,2021-01-14 09:16:00,entry,stop_loss,1,Wednesday,9,75,BUY:NIFTY_DHAN_14650CE@18.6,-742.5,48.78,-791.28,1
ThreePMDirectional,2021-01-21,2021-01-15,2021-01-15 15:16:00,2021-01-18,2021-01-18 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14600PE@218.0,468.75,75.71,393.04,1
ThreePMDirectional,2021-01-21,2021-01-18,2021-01-18 15:16:00,2021-01-19,2021-01-19 09:15:00,entry,next_day_open,3,Monday,9,75,BUY:NIFTY_DHAN_14400PE@177.6,-3828.75,65.83,-3894.58,1
ThreePMDirectional,2021-01-21,2021-01-19,2021-01-19 15:16:00,2021-01-20,2021-01-20 09:15:00,entry,next_day_open,2,Tuesday,9,75,BUY:NIFTY_DHAN_14400PE@27.7,52.5,50.81,1.69,1
ThreePMDirectional,2021-01-21,2021-01-20,2021-01-20 15:16:00,2021-01-21,2021-01-21 09:16:00,entry,stop_loss,1,Wednesday,9,75,BUY:NIFTY_DHAN_14550PE@17.65,-1076.25,48.29,-1124.54,1
ThreePMDirectional,2021-01-28,2021-01-22,2021-01-22 15:16:00,2021-01-25,2021-01-25 09:15:00,entry,next_day_open,6,Friday,9,75,BUY:NIFTY_DHAN_14550PE@239.9,-5220.0,72.32,-5292.32,1
