strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStraddle,2024-01-04,2024-01-04 09:20:00,2024-01-04 15:20:00,entry,time_exit,"SELL:NIFTY04JAN24CE21600@37.1,SELL:NIFTY04JAN24PE21600@41.45",1230.0,100.85,1129.15
ShortStraddle,2024-01-11,2024-01-11 09:20:00,2024-01-11 15:20:00,entry,time_exit,"SELL:NIFTY11JAN24CE21700@44.0,SELL:NIFTY11JAN24PE21700@35.85",1322.5,100.92,1221.58
ShortStraddle,2024-01-18,2024-01-18 09:20:00,2024-01-18 09:58:00,entry,stop_loss,"SELL:NIFTY18JAN24CE21450@55.55,SELL:NIFTY18JAN24PE21450@59.55",-3040.0,106.86,-3146.86
ShortStraddle,2024-01-25,2024-01-25 09:20:00,2024-01-25 15:13:00,entry,target,"SELL:NIFTY25JAN24CE21400@79.15,SELL:NIFTY25JAN24PE21400@56.15",3517.5,104.64,3412.86
ShortStraddle,2024-02-01,2024-02-01 09:20:00,2024-02-01 12:02:00,entry,target,"SELL:NIFTY01FEB24CE21750@106.2,SELL:NIFTY01FEB24PE21750@136.1",7047.5,112.29,6935.21
ShortStraddle,2024-02-08,2024-02-08 09:20:00,2024-02-08 10:58:00,entry,stop_loss,"SELL:NIFTY08FEB24CE22000@68.45,SELL:NIFTY08FEB24PE22000@51.1",-3222.5,107.39,-3329.89
ShortStraddle,2024-02-15,2024-02-15 09:20:00,2024-02-15 13:29:00,entry,target,"SELL:NIFTY15FEB24CE21900@60.15,SELL:NIFTY15FEB24PE21900@65.3",3130.0,103.98,3026.02
ShortStraddle,2024-02-22,2024-02-22 09:20:00,2024-02-22 10:04:00,entry,stop_loss,"SELL:NIFTY22FEB24CE22050@55.5,SELL:NIFTY22FEB24PE22050@72.6",-3335.0,108.23,-3443.23
ShortStraddle,2024-02-29,2024-02-29 09:20:00,2024-02-29 14:21:00,entry,target,"SELL:NIFTY29FEB24CE21900@85.3,SELL:NIFTY29FEB24PE21900@72.0",4072.5,106.32,3966.18
ShortStraddle,2024-03-07,2024-03-07 09:20:00,2024-03-07 11:53:00,entry,target,"SELL:NIFTY07MAR24CE22500@49.55,SELL:NIFTY07MAR24PE22500@62.2",2837.5,102.9,2734.6
ShortStraddle,2024-03-14,2024-03-14 09:20:00,2024-03-14 11:39:00,entry,stop_loss,"SELL:NIFTY14MAR24CE21950@70.65,SELL:NIFTY14MAR24PE21950@77.65",-3835.0,110.41,-3945.41
ShortStraddle,2024-03-21,2024-03-21 09:20:00,2024-03-21 12:54:00,entry,target,"SELL:NIFTY21MAR24CE22000@52.35,SELL:NIFTY21MAR24PE22000@52.7",2620.0,102.41,2517.59
ShortStraddle,2024-03-28,2024-03-28 09:20:00,2024-03-28 09:49:00,entry,stop_loss,"SELL:NIFTY28MAR24CE22200@55.8,SELL:NIFTY28MAR24PE22200@41.25",-2817.5,105.06,-2922.56
ShortStraddle,2024-04-04,2024-04-04 09:20:00,2024-04-04 09:45:00,entry,stop_loss,"SELL:NIFTY04APR24CE22550@51.85,SELL:NIFTY04APR24PE22550@51.35",-2822.5,105.63,-2928.13
ShortStraddle,2024-04-10,2024-04-10 09:20:00,2024-04-10 12:04:00,entry,target,"SELL:NIFTY10APR24CE22700@44.3,SELL:NIFTY10APR24PE22700@64.8",2727.5,102.72,2624.78
ShortStraddle,2024-04-18,2024-04-18 09:20:00,2024-04-18 13:27:00,entry,stop_loss,"SELL:NIFTY18APR24CE22250@40.75,SELL:NIFTY18APR24PE22250@48.45",-7117.5,107.03,-7224.53
ShortStraddle,2024-04-25,2024-04-25 09:20:00,2024-04-25 10:15:00,entry,stop_loss,"SELL:NIFTY25APR24CE22350@46.1,SELL:NIFTY25APR24PE22350@58.4",-2927.5,105.81,-3033.31
