file,interval,input_rows,output_rows,start,end,null_datetime_dropped,null_ohlc_dropped,nonpositive_ohlc_dropped,ohlc_repaired_rows,duplicate_timestamp_rows_collapsed,weekend_rows,off_regular_session_rows,trading_days,min_rows_per_day,median_rows_per_day,max_rows_per_day,partial_days_lt_90pct_expected,regular_slot_missing_days,missing_regular_slots,abs_return_gt_5pct,abs_return_gt_10pct
INDIA VIX_15minute.csv,15min,69285,69285,2015-01-09 09:15:00,2026-04-08 14:00:00,0,0,0,56,0,155,184,2783,4,25.0,25,15,2,2,496,77
INDIA VIX_30minute.csv,30min,36036,36036,2015-01-09 09:15:00,2026-04-08 14:45:00,0,0,0,17,0,84,101,2783,2,13.0,13,14,1,1,536,76
INDIA VIX_5minute.csv,5min,207825,207825,2015-01-09 09:15:00,2026-04-08 13:20:00,0,0,0,255,0,465,549,2783,9,75.0,75,15,8,22,513,82
INDIA VIX_60minute.csv,60min,19406,19406,2015-01-09 09:15:00,2026-04-08 15:15:00,0,0,0,11,0,46,55,2783,1,7.0,7,14,0,0,571,94
INDIA VIX_day.csv,day,2793,2790,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,3,11,0,2790,0,0.0,0,0,0,0,634,142
INDIA VIX_minute.csv,1min,1038987,1038983,2015-01-09 09:15:00,2026-04-08 13:17:00,0,0,0,2547,4,2325,2685,2783,53,375.0,375,16,26,144,731,110
NIFTY 100_15minute.csv,15min,69281,69281,2015-01-09 09:15:00,2026-04-08 13:15:00,0,0,0,0,0,155,185,2783,4,25.0,25,15,3,4,6,1
NIFTY 100_30minute.csv,30min,36033,36033,2015-01-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,84,101,2783,2,13.0,13,15,1,1,5,2
NIFTY 100_5minute.csv,5min,207819,207819,2015-01-09 09:15:00,2026-04-08 13:20:00,0,0,0,0,0,465,552,2783,9,75.0,75,16,8,22,5,0
NIFTY 100_60minute.csv,60min,19405,19405,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2783,1,7.0,7,15,0,0,5,2
NIFTY 100_day.csv,day,3668,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,877,11,0,2791,0,0.0,0,0,0,0,11,1
NIFTY 100_minute.csv,1min,1038781,1038777,2015-01-09 09:15:00,2026-04-08 10:28:00,0,0,0,0,4,2325,2697,2783,54,375.0,375,17,26,144,6,0
NIFTY 200_15minute.csv,15min,69283,69283,2015-01-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,155,185,2783,4,25.0,25,15,3,4,8,3
NIFTY 200_30minute.csv,30min,36034,36034,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,84,101,2783,2,13.0,13,15,1,1,7,4
NIFTY 200_5minute.csv,5min,207803,207803,2015-01-09 09:15:00,2026-04-08 11:55:00,0,0,0,0,0,465,552,2783,9,75.0,75,16,7,21,7,2
NIFTY 200_60minute.csv,60min,19405,19405,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2783,1,7.0,7,15,0,0,7,4
NIFTY 200_day.csv,day,3668,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,877,11,0,2791,0,0.0,0,0,0,0,12,1
NIFTY 200_minute.csv,1min,1038923,1038919,2015-01-09 09:15:00,2026-04-08 12:50:00,0,0,0,0,4,2325,2697,2783,53,375.0,375,17,27,143,8,2
NIFTY 500_15minute.csv,15min,41793,41793,2015-11-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,126,143,1680,4,25.0,25,11,1,2,7,2
