late_2bar_color_combo,gap_dir,n,gap_up_rate,gap_down_rate,avg_gap_pct,median_gap_pct,next_up_rate,next_down_rate,avg_next_intraday_pct,median_next_intraday_pct,close_above_prior_rate,avg_next_total_pct,touch_3pm_close_rate,avg_close_vs_3pm_close_pct,close_above_3pm_close_rate
bearish_bearish,gap_down,198,0.0,100.0,-0.4501,-0.2563,47.4747,52.5253,-0.0834,-0.0429,28.2828,-0.5318,50.0,-0.6057,27.2727
bearish_bearish,gap_up,440,100.0,0.0,0.3807,0.3051,46.3636,53.6364,-0.0778,-0.0572,63.6364,0.303,68.4091,0.2196,60.4545
bearish_bullish,gap_down,239,0.0,100.0,-0.4938,-0.2574,46.0251,53.9749,-0.0623,-0.0808,25.9414,-0.5578,63.5983,-0.4697,32.2176
bearish_bullish,gap_up,466,100.0,0.0,0.4281,0.3048,50.8584,49.1416,-0.0271,0.0205,68.8841,0.4004,56.867,0.4992,72.3176
bearish_doji,gap_down,1,0.0,100.0,-0.0181,-0.0181,100.0,0.0,0.2358,0.2358,100.0,0.2177,100.0,0.221,100.0
bearish_doji,gap_up,3,100.0,0.0,0.4483,0.3454,100.0,0.0,0.1766,0.13,100.0,0.6257,0.0,0.6248,100.0
bullish_bearish,flat,2,0.0,0.0,0.0,0.0,0.0,100.0,-0.7351,-0.7351,0.0,-0.7351,50.0,-0.8009,0.0
bullish_bearish,gap_down,246,0.0,100.0,-0.3679,-0.2093,48.374,51.626,-0.0433,-0.0256,31.7073,-0.4123,61.3821,-0.4975,25.6098
bullish_bearish,gap_up,534,100.0,0.0,0.347,0.2615,39.5131,60.4869,-0.1541,-0.1486,59.7378,0.1922,73.5955,0.1169,54.3071
bullish_bullish,flat,2,0.0,0.0,0.0,0.0,100.0,0.0,0.2093,0.2093,100.0,0.2093,100.0,0.2759,100.0
bullish_bullish,gap_down,217,0.0,100.0,-0.4264,-0.1999,51.6129,48.3871,0.0187,0.0168,35.9447,-0.4084,73.7327,-0.3202,39.1705
bullish_bullish,gap_up,416,100.0,0.0,0.3544,0.2732,48.5577,51.4423,-0.0494,-0.0232,66.3462,0.3048,58.4135,0.3776,69.7115
bullish_doji,gap_down,1,0.0,100.0,-0.2337,-0.2337,100.0,0.0,0.6013,0.6013,100.0,0.3661,100.0,0.3667,100.0
bullish_doji,gap_up,2,100.0,0.0,0.1586,0.1586,0.0,100.0,-0.9221,-0.9221,0.0,-0.7657,100.0,-0.7668,0.0
doji_bearish,gap_down,1,0.0,100.0,-0.1588,-0.1588,0.0,100.0,-0.4766,-0.4766,0.0,-0.6347,100.0,-0.6669,0.0
doji_bullish,gap_up,1,100.0,0.0,1.2446,1.2446,0.0,100.0,-1.8385,-1.8385,0.0,-0.6168,100.0,-0.4686,0.0
