three_color,gap_bucket,n,gap_up_rate,gap_down_rate,avg_gap_pct,median_gap_pct,next_up_rate,next_down_rate,avg_next_intraday_pct,median_next_intraday_pct,close_above_prior_rate,avg_next_total_pct,touch_3pm_close_rate,avg_close_vs_3pm_close_pct,close_above_3pm_close_rate,pattern_family,late_2bar_color_combo,edge_score_abs_avg_intraday
bullish,gap_up_big_ge_0.50,187,100.0,0.0,0.8479,0.6871,50.2674,49.7326,-0.1408,0.0147,78.0749,0.7058,38.5027,0.6964,75.4011,three_color_gap_bucket,,0.1408
,gap_up_mid_0.10_to_0.50,360,100.0,0.0,0.2706,0.251,37.7778,62.2222,-0.1384,-0.1564,59.7222,0.1319,78.3333,0.0606,53.6111,late_combo_gap_bucket,bullish_bearish,0.1384
,gap_up_mid_0.10_to_0.50,262,100.0,0.0,0.2751,0.2806,44.2748,55.7252,-0.138,-0.1143,59.1603,0.1367,76.3359,0.0614,54.9618,late_combo_gap_bucket,bearish_bearish,0.138
,gap_down_mid_-0.50_to_-0.10,119,0.0,100.0,-0.259,-0.2444,45.3782,54.6218,-0.1352,-0.1136,28.5714,-0.3939,72.2689,-0.312,36.1345,late_combo_gap_bucket,bearish_bullish,0.1352
,gap_up_big_ge_0.50,121,100.0,0.0,0.9705,0.7019,52.0661,47.9339,-0.125,0.0626,80.1653,0.843,35.5372,0.9821,81.8182,late_combo_gap_bucket,bearish_bullish,0.125
bullish,gap_up_mid_0.10_to_0.50,610,100.0,0.0,0.2731,0.2608,40.6557,59.3443,-0.1208,-0.1232,61.3115,0.152,72.1311,0.1364,59.5082,three_color_gap_bucket,,0.1208
,gap_up_big_ge_0.50,111,100.0,0.0,0.8297,0.7213,55.8559,44.1441,0.1176,0.1222,88.2883,0.9486,40.5405,0.8372,86.4865,late_combo_gap_bucket,bearish_bearish,0.1176
bearish,gap_down_mid_-0.50_to_-0.10,217,0.0,100.0,-0.2635,-0.2434,44.2396,55.7604,-0.11,-0.0856,29.0323,-0.3732,63.5945,-0.3648,32.7189,three_color_gap_bucket,,0.11
,gap_down_mid_-0.50_to_-0.10,121,0.0,100.0,-0.2614,-0.2527,42.9752,57.0248,-0.0992,-0.0576,28.0992,-0.3606,59.5041,-0.4355,23.9669,late_combo_gap_bucket,bullish_bearish,0.0992
,gap_up_mid_0.10_to_0.50,249,100.0,0.0,0.2766,0.2657,44.9799,55.0201,-0.0897,-0.0858,63.8554,0.1866,63.0522,0.2513,68.2731,late_combo_gap_bucket,bullish_bullish,0.0897
bullish,gap_down_mid_-0.50_to_-0.10,225,0.0,100.0,-0.2573,-0.2415,45.7778,54.2222,-0.0721,-0.055,32.0,-0.3293,66.2222,-0.3338,31.1111,three_color_gap_bucket,,0.0721
bearish,gap_up_mid_0.10_to_0.50,538,100.0,0.0,0.2804,0.2834,46.6543,53.3457,-0.0672,-0.0627,63.197,0.2131,67.4721,0.2189,63.5688,three_color_gap_bucket,,0.0672
bullish,gap_down_tiny_0_to_-0.10,143,0.0,100.0,-0.0432,-0.0371,49.6503,50.3497,-0.0659,-0.0034,46.1538,-0.1091,88.8112,-0.1092,43.3566,three_color_gap_bucket,,0.0659
bearish,gap_up_tiny_0_to_0.10,138,100.0,0.0,0.0528,0.0545,48.5507,51.4493,-0.0597,-0.0393,49.2754,-0.0069,83.3333,0.0059,49.2754,three_color_gap_bucket,,0.0597
bearish,gap_down_tiny_0_to_-0.10,103,0.0,100.0,-0.0426,-0.0432,48.5437,51.4563,-0.0512,-0.017,43.6893,-0.0937,82.5243,-0.0839,46.6019,three_color_gap_bucket,,0.0512
,gap_down_mid_-0.50_to_-0.10,103,0.0,100.0,-0.2527,-0.2388,48.5437,51.4563,-0.0468,-0.0494,35.9223,-0.2993,73.7864,-0.221,38.835,late_combo_gap_bucket,bullish_bullish,0.0468
bullish,gap_up_tiny_0_to_0.10,155,100.0,0.0,0.0508,0.0522,45.8065,54.1935,-0.0302,-0.0821,48.3871,0.0206,81.2903,0.0295,49.0323,three_color_gap_bucket,,0.0302
bearish,gap_down_big_le_-0.50,118,0.0,100.0,-1.2338,-0.902,50.0,50.0,-0.0173,0.0062,9.322,-1.2522,24.5763,-1.2216,11.0169,three_color_gap_bucket,,0.0173
bearish,gap_up_big_ge_0.50,233,100.0,0.0,0.9022,0.7159,54.0773,45.9227,-0.0083,0.0986,84.1202,0.8932,37.7682,0.9123,84.1202,three_color_gap_bucket,,0.0083
,gap_up_mid_0.10_to_0.50,274,100.0,0.0,0.2851,0.2847,48.5401,51.4599,-0.0014,-0.0277,66.7883,0.2838,59.4891,0.3672,71.5328,late_combo_gap_bucket,bearish_bullish,0.0014
