three_color,gap_dir,three_close_touched_next_day,n,next_up_rate,next_down_rate,avg_next_intraday_pct,close_above_3pm_close_rate,avg_close_vs_3pm_close_pct,after_touch_up_rate,avg_after_touch_close_pct,avg_post_touch_high_vs_level_pct,avg_post_touch_low_vs_level_pct
bearish,gap_down,False,186,21.5054,78.4946,-0.5098,1.6129,-1.2522,0.0,,,
bearish,gap_down,True,252,65.4762,34.5238,0.2526,51.1905,0.0037,47.619,0.0061824961961483805,0.48175030555356774,-0.550570366929047
bearish,gap_up,False,343,76.0933,23.9067,0.3784,96.5015,0.9806,0.0,,,
bearish,gap_up,True,566,32.3322,67.6678,-0.3111,48.5866,-0.0092,50.3534,0.004570695661429621,0.515925219908382,-0.5462795150379371
bullish,flat,False,1,0.0,100.0,-0.8422,0.0,-0.9057,0.0,,,
bullish,flat,True,3,66.6667,33.3333,-0.0697,66.6667,-0.0481,66.6667,-0.0853988737499453,0.32298089522692436,-0.4168566740862969
bullish,gap_down,False,152,26.3158,73.6842,-0.4144,3.9474,-1.1531,0.0,,,
bullish,gap_down,True,312,61.5385,38.4615,0.1827,45.8333,-0.052,46.1538,-0.0366760516874975,0.42242705971894157,-0.5362421989196485
bullish,gap_up,False,314,76.1146,23.8854,0.3095,96.1783,0.8347,0.0,,,
bullish,gap_up,True,638,27.2727,72.7273,-0.3164,43.5737,-0.0692,45.2978,-0.05150228128094621,0.43356178153659264,-0.5265565126706877
doji,gap_down,True,1,0.0,100.0,-0.4766,0.0,-0.6669,0.0,-0.7034159348995478,0.23375839100640375,-1.201186188858392
doji,gap_up,True,1,0.0,100.0,-1.8385,0.0,-0.4686,0.0,-0.8932964590508771,0.5895633652822213,-1.0436634717784876
